ledger_path,ledger_sha256,source_session,posture_review_item_id,native_temporal_unit_key,posture_decision,scope_sha256,scope_hash_matches_current_snapshot,current_key_found,current_snapshot_alignment_valid,valid_decision
E:\PigProjectStorage\PIG_Behavior_Project\outputs\classification_v2\posture_review_sessions\paired_pilot_86edabc\posture_pilot_decisions.csv,08f626e1faf7ffdb75c5fa99f40744f4b5b1bfbea60b2b199bfea3b92f7bf786,paired_pilot_86edabc,posture_pilot_0001,source=cvat_tracking_xml|dataset=cvat_tracking_test%20video%20Pigs291119_000302_30fps|video=test%20video%20Pigs291119_000302_30fps|track_id=0|anchor=42,sitting,f03a71cadf3e75d20c6157e90d050a73bcbf5e3341915ae8033d8c0678805527,False,True,True,True
E:\PigProjectStorage\PIG_Behavior_Project\outputs\classification_v2\posture_review_sessions\paired_pilot_86edabc\posture_pilot_decisions.csv,08f626e1faf7ffdb75c5fa99f40744f4b5b1bfbea60b2b199bfea3b92f7bf786,paired_pilot_86edabc,posture_pilot_0002,source=cvat_tracking_xml|dataset=cvat_tracking_Pigs281119_000114_30fps|video=Pigs281119_000114_30fps|track_id=3|anchor=72,upright,f03a71cadf3e75d20c6157e90d050a73bcbf5e3341915ae8033d8c0678805527,False,True,True,True
E:\PigProjectStorage\PIG_Behavior_Project\outputs\classification_v2\posture_review_sessions\paired_pilot_86edabc\posture_pilot_decisions.csv,08f626e1faf7ffdb75c5fa99f40744f4b5b1bfbea60b2b199bfea3b92f7bf786,paired_pilot_86edabc,posture_pilot_0003,source=cvat_tracking_xml|dataset=cvat_tracking_pigs301119_000327|video=pigs301119_000327|track_id=4|anchor=534,upright,f03a71cadf3e75d20c6157e90d050a73bcbf5e3341915ae8033d8c0678805527,False,True,True,True
E:\PigProjectStorage\PIG_Behavior_Project\outputs\classification_v2\posture_review_sessions\paired_pilot_86edabc\posture_pilot_decisions.csv,08f626e1faf7ffdb75c5fa99f40744f4b5b1bfbea60b2b199bfea3b92f7bf786,paired_pilot_86edabc,posture_pilot_0004,source=legacy_recovered|dataset=legacy_recovered_16f|video=pigs041219%2F000222|track_id=tracklet_00001986|legacy_sequence,upright,f03a71cadf3e75d20c6157e90d050a73bcbf5e3341915ae8033d8c0678805527,False,True,True,True
E:\PigProjectStorage\PIG_Behavior_Project\outputs\classification_v2\posture_review_sessions\paired_pilot_86edabc\posture_pilot_decisions.csv,08f626e1faf7ffdb75c5fa99f40744f4b5b1bfbea60b2b199bfea3b92f7bf786,paired_pilot_86edabc,posture_pilot_0005,source=legacy_recovered|dataset=legacy_recovered_16f|video=pigs151119%2F000048|track_id=tracklet_00003591|legacy_sequence,lying,f03a71cadf3e75d20c6157e90d050a73bcbf5e3341915ae8033d8c0678805527,False,True,True,True
E:\PigProjectStorage\PIG_Behavior_Project\outputs\classification_v2\posture_review_sessions\paired_pilot_86edabc\posture_pilot_decisions.csv,08f626e1faf7ffdb75c5fa99f40744f4b5b1bfbea60b2b199bfea3b92f7bf786,paired_pilot_86edabc,posture_pilot_0006,source=cvat_tracking_xml|dataset=cvat_tracking_Pigs281119_000114_30fps|video=Pigs281119_000114_30fps|track_id=3|anchor=168,upright,f03a71cadf3e75d20c6157e90d050a73bcbf5e3341915ae8033d8c0678805527,False,True,True,True
E:\PigProjectStorage\PIG_Behavior_Project\outputs\classification_v2\posture_review_sessions\paired_pilot_86edabc\posture_pilot_decisions.csv,08f626e1faf7ffdb75c5fa99f40744f4b5b1bfbea60b2b199bfea3b92f7bf786,paired_pilot_86edabc,posture_pilot_0007,source=legacy_recovered|dataset=legacy_recovered_16f|video=pigs271119%2F000019|track_id=tracklet_00002413|legacy_sequence,upright,f03a71cadf3e75d20c6157e90d050a73bcbf5e3341915ae8033d8c0678805527,False,True,True,True
E:\PigProjectStorage\PIG_Behavior_Project\outputs\classification_v2\posture_review_sessions\paired_pilot_86edabc\posture_pilot_decisions.csv,08f626e1faf7ffdb75c5fa99f40744f4b5b1bfbea60b2b199bfea3b92f7bf786,paired_pilot_86edabc,posture_pilot_0008,source=legacy_recovered|dataset=legacy_recovered_16f|video=pigs081119%2F000357|track_id=tracklet_00003431|legacy_sequence,upright,f03a71cadf3e75d20c6157e90d050a73bcbf5e3341915ae8033d8c0678805527,False,True,True,True
E:\PigProjectStorage\PIG_Behavior_Project\outputs\classification_v2\posture_review_sessions\paired_pilot_86edabc\posture_pilot_decisions.csv,08f626e1faf7ffdb75c5fa99f40744f4b5b1bfbea60b2b199bfea3b92f7bf786,paired_pilot_86edabc,posture_pilot_0009,source=legacy_recovered|dataset=legacy_recovered_16f|video=pigs281119%2F000096|track_id=tracklet_00004421|legacy_sequence,upright,f03a71cadf3e75d20c6157e90d050a73bcbf5e3341915ae8033d8c0678805527,False,True,True,True
E:\PigProjectStorage\PIG_Behavior_Project\outputs\classification_v2\posture_review_sessions\paired_pilot_86edabc\posture_pilot_decisions.csv,08f626e1faf7ffdb75c5fa99f40744f4b5b1bfbea60b2b199bfea3b92f7bf786,paired_pilot_86edabc,posture_pilot_0010,source=cvat_tracking_xml|dataset=cvat_tracking_Pigs301119_000330|video=Pigs301119_000330|track_id=4|anchor=330,upright,f03a71cadf3e75d20c6157e90d050a73bcbf5e3341915ae8033d8c0678805527,False,True,True,True
