posture_review_item_id,native_temporal_unit_key,source_type,dataset_id,video_key,source_video_key,object_track_key,pig_id,track_id,recording_date,outer_fold_id,split_role,unit_start_frame,unit_end_frame,label_window_start,label_window_end,observed_frame_start,observed_frame_end
posture_review_0000001,source=cvat_tracking_xml|dataset=cvat_tracking_Pigs281119_000085_30fps|video=Pigs281119_000085_30fps|track_id=1|anchor=180,cvat_tracking_xml,cvat_tracking_Pigs281119_000085_30fps,Pigs281119_000085_30fps,Pigs281119_000085_30fps,source=cvat_tracking_xml|dataset=cvat_tracking_Pigs281119_000085_30fps|video=Pigs281119_000085_30fps|track_id=1,ID_7,1,281119,FOLD_3,exclude|validation,180,185,180,185,180,185
posture_review_0000002,source=cvat_tracking_xml|dataset=cvat_tracking_pigs301119_000329|video=pigs301119_000329|track_id=5|anchor=1056,cvat_tracking_xml,cvat_tracking_pigs301119_000329,pigs301119_000329,pigs301119_000329,source=cvat_tracking_xml|dataset=cvat_tracking_pigs301119_000329|video=pigs301119_000329|track_id=5,ID_3,5,301119,FOLD_2,exclude|train,1056,1061,1056,1061,1056,1061
posture_review_0000003,source=cvat_tracking_xml|dataset=cvat_tracking_Pigs291119_000233|video=Pigs291119_000233|track_id=0|anchor=918,cvat_tracking_xml,cvat_tracking_Pigs291119_000233,Pigs291119_000233,Pigs291119_000233,source=cvat_tracking_xml|dataset=cvat_tracking_Pigs291119_000233|video=Pigs291119_000233|track_id=0,ID_1,0,291119,FOLD_1,exclude|train,918,923,918,923,918,923
posture_review_0000004,source=cvat_tracking_xml|dataset=cvat_tracking_Pigs291119_000226_30fps|video=Pigs291119_000226_30fps|track_id=7|anchor=1332,cvat_tracking_xml,cvat_tracking_Pigs291119_000226_30fps,Pigs291119_000226_30fps,Pigs291119_000226_30fps,source=cvat_tracking_xml|dataset=cvat_tracking_Pigs291119_000226_30fps|video=Pigs291119_000226_30fps|track_id=7,ID_8,7,291119,FOLD_1,exclude|train,1332,1337,1332,1337,1332,1337
posture_review_0000005,source=cvat_tracking_xml|dataset=cvat_tracking_Pigs281119_000085_30fps|video=Pigs281119_000085_30fps|track_id=0|anchor=0,cvat_tracking_xml,cvat_tracking_Pigs281119_000085_30fps,Pigs281119_000085_30fps,Pigs281119_000085_30fps,source=cvat_tracking_xml|dataset=cvat_tracking_Pigs281119_000085_30fps|video=Pigs281119_000085_30fps|track_id=0,ID_8,0,281119,FOLD_3,exclude|validation,0,5,0,5,0,5
posture_review_0000006,source=cvat_tracking_xml|dataset=cvat_tracking_Pigs281119_000085_30fps|video=Pigs281119_000085_30fps|track_id=7|anchor=288,cvat_tracking_xml,cvat_tracking_Pigs281119_000085_30fps,Pigs281119_000085_30fps,Pigs281119_000085_30fps,source=cvat_tracking_xml|dataset=cvat_tracking_Pigs281119_000085_30fps|video=Pigs281119_000085_30fps|track_id=7,ID_1,7,281119,FOLD_3,exclude|validation,288,293,288,293,288,293
posture_review_0000007,source=cvat_tracking_xml|dataset=cvat_tracking_Pigs281119_000085_30fps|video=Pigs281119_000085_30fps|track_id=1|anchor=60,cvat_tracking_xml,cvat_tracking_Pigs281119_000085_30fps,Pigs281119_000085_30fps,Pigs281119_000085_30fps,source=cvat_tracking_xml|dataset=cvat_tracking_Pigs281119_000085_30fps|video=Pigs281119_000085_30fps|track_id=1,ID_7,1,281119,FOLD_3,exclude|validation,60,65,60,65,60,65
posture_review_0000008,source=cvat_tracking_xml|dataset=cvat_tracking_Pigs281119_000085_30fps|video=Pigs281119_000085_30fps|track_id=0|anchor=1104,cvat_tracking_xml,cvat_tracking_Pigs281119_000085_30fps,Pigs281119_000085_30fps,Pigs281119_000085_30fps,source=cvat_tracking_xml|dataset=cvat_tracking_Pigs281119_000085_30fps|video=Pigs281119_000085_30fps|track_id=0,ID_8,0,281119,FOLD_3,exclude|validation,1104,1109,1104,1109,1104,1109
posture_review_0000009,source=cvat_tracking_xml|dataset=cvat_tracking_Pigs281119_000085_30fps|video=Pigs281119_000085_30fps|track_id=7|anchor=1080,cvat_tracking_xml,cvat_tracking_Pigs281119_000085_30fps,Pigs281119_000085_30fps,Pigs281119_000085_30fps,source=cvat_tracking_xml|dataset=cvat_tracking_Pigs281119_000085_30fps|video=Pigs281119_000085_30fps|track_id=7,ID_1,7,281119,FOLD_3,exclude|validation,1080,1085,1080,1085,1080,1085
posture_review_0000010,source=legacy_recovered|dataset=legacy_recovered_16f|video=pigs041219%2F000251|track_id=tracklet_00004449|legacy_sequence,legacy_recovered,legacy_recovered_16f,pigs041219/000251,,source=legacy_recovered|dataset=legacy_recovered_16f|video=pigs041219%2F000251|track_id=tracklet_00004449,ID_3,tracklet_00004449,041219,FOLD_4,train,0,15,0,15,0,15
