behavior_label,posture_label,machine_decision_value,support_count,behavior_total,proportion
drink,lying,lying,0,6,0.0
drink,sitting,sitting,0,6,0.0
drink,upright,upright,6,6,1.0
drink,unresolved,unresolved,0,6,0.0
drink,exclude,technical_exclude,0,6,0.0
eat,lying,lying,0,20,0.0
eat,sitting,sitting,0,20,0.0
eat,upright,upright,20,20,1.0
eat,unresolved,unresolved,0,20,0.0
eat,exclude,technical_exclude,0,20,0.0
fight,lying,lying,0,4,0.0
fight,sitting,sitting,0,4,0.0
fight,upright,upright,4,4,1.0
fight,unresolved,unresolved,0,4,0.0
fight,exclude,technical_exclude,0,4,0.0
social-nose,lying,lying,0,6,0.0
social-nose,sitting,sitting,0,6,0.0
social-nose,upright,upright,6,6,1.0
social-nose,unresolved,unresolved,0,6,0.0
social-nose,exclude,technical_exclude,0,6,0.0
explore,lying,lying,0,41,0.0
explore,sitting,sitting,1,41,0.024390243902439025
explore,upright,upright,40,41,0.975609756097561
explore,unresolved,unresolved,0,41,0.0
explore,exclude,technical_exclude,0,41,0.0
lying,lying,lying,185,200,0.925
lying,sitting,sitting,14,200,0.07
lying,upright,upright,1,200,0.005
lying,unresolved,unresolved,0,200,0.0
lying,exclude,technical_exclude,0,200,0.0
stand,lying,lying,0,9,0.0
stand,sitting,sitting,0,9,0.0
stand,upright,upright,9,9,1.0
stand,unresolved,unresolved,0,9,0.0
stand,exclude,technical_exclude,0,9,0.0
move,lying,lying,0,13,0.0
move,sitting,sitting,0,13,0.0
move,upright,upright,13,13,1.0
move,unresolved,unresolved,0,13,0.0
move,exclude,technical_exclude,0,13,0.0
sitting,lying,lying,9,200,0.045
sitting,sitting,sitting,188,200,0.94
sitting,upright,upright,3,200,0.015
sitting,unresolved,unresolved,0,200,0.0
sitting,exclude,technical_exclude,0,200,0.0
playwithtoy,lying,lying,0,1,0.0
playwithtoy,sitting,sitting,1,1,1.0
playwithtoy,upright,upright,0,1,0.0
playwithtoy,unresolved,unresolved,0,1,0.0
playwithtoy,exclude,technical_exclude,0,1,0.0
