group_dimension,group_value,posture_label,machine_decision_value,support_count,usable_support_count,group_total
outer_fold,FOLD_1,lying,lying,71,71,75
outer_fold,FOLD_1,sitting,sitting,3,3,75
outer_fold,FOLD_1,upright,upright,1,1,75
outer_fold,FOLD_1,unresolved,unresolved,0,0,75
outer_fold,FOLD_1,exclude,technical_exclude,0,0,75
outer_fold,FOLD_2,lying,lying,12,12,75
outer_fold,FOLD_2,sitting,sitting,61,61,75
outer_fold,FOLD_2,upright,upright,2,2,75
outer_fold,FOLD_2,unresolved,unresolved,0,0,75
outer_fold,FOLD_2,exclude,technical_exclude,0,0,75
outer_fold,FOLD_3,lying,lying,25,25,75
outer_fold,FOLD_3,sitting,sitting,49,49,75
outer_fold,FOLD_3,upright,upright,1,1,75
outer_fold,FOLD_3,unresolved,unresolved,0,0,75
outer_fold,FOLD_3,exclude,technical_exclude,0,0,75
outer_fold,FOLD_4,lying,lying,86,86,275
outer_fold,FOLD_4,sitting,sitting,91,91,275
outer_fold,FOLD_4,upright,upright,98,98,275
outer_fold,FOLD_4,unresolved,unresolved,0,0,275
outer_fold,FOLD_4,exclude,technical_exclude,0,0,275
