stable_native_unit_key,actor_key,posture_label,posture_decision,posture_label_display,posture_label_source,source_type,source_video_key,video_key,recording_date,native_start_frame,native_end_frame,split_role,outer_fold_id,model_split_role,split_eligibility_status_tokens,behavior_label,sampling_stratum,reviewed_snapshot,reviewed_snapshot_sha,split_hash,review_session,review_status,reviewer,decision_timestamp,technical_exclusion_reason,media_binding_status,media_binding_path,snapshot_binding_status,split_binding_status,usable_for_posture_supervision,posture_valid_mask,behavior_model_eligible_for_matched_ablation
source=cvat_tracking_xml|dataset=cvat_tracking_Pigs281119_000085_30fps|video=Pigs281119_000085_30fps|track_id=1|anchor=180,source=cvat_tracking_xml|dataset=cvat_tracking_Pigs281119_000085_30fps|video=Pigs281119_000085_30fps|track_id=1,sitting,sitting,sitting,human_review,cvat_tracking_xml,Pigs281119_000085_30fps,Pigs281119_000085_30fps,281119,180,185,exclude|validation,FOLD_3,validation,exclude,lying,lying_enriched,reviewed_engineering_amendment_992f34c0204a85a1,ab86e2e04267cfdc8248f9bdb8774615479d67a3589f7a25844bb1a4c93a639e,557156a7eb6cceeb6a91f667f7c51dcb286e3111f35f414970fa7431acc7e63b,posture_500_a566c58d252c1642,human_review_completed,TuanHM,2026-08-07T00:35:13+07:00,,PASS,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\videos\Pigs281119_000085_30fps.mp4,PASS,PASS,True,True,False
source=cvat_tracking_xml|dataset=cvat_tracking_pigs301119_000329|video=pigs301119_000329|track_id=5|anchor=1056,source=cvat_tracking_xml|dataset=cvat_tracking_pigs301119_000329|video=pigs301119_000329|track_id=5,lying,lying,lying,human_review,cvat_tracking_xml,pigs301119_000329,pigs301119_000329,301119,1056,1061,exclude|train,FOLD_2,train,exclude,lying,lying_enriched,reviewed_engineering_amendment_992f34c0204a85a1,ab86e2e04267cfdc8248f9bdb8774615479d67a3589f7a25844bb1a4c93a639e,557156a7eb6cceeb6a91f667f7c51dcb286e3111f35f414970fa7431acc7e63b,posture_500_a566c58d252c1642,human_review_completed,TuanHM,2026-08-07T00:35:19+07:00,,PASS,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\videos\Pigs301119_000329_30fps.mp4,PASS,PASS,True,True,False
source=cvat_tracking_xml|dataset=cvat_tracking_Pigs291119_000233|video=Pigs291119_000233|track_id=0|anchor=918,source=cvat_tracking_xml|dataset=cvat_tracking_Pigs291119_000233|video=Pigs291119_000233|track_id=0,lying,lying,lying,human_review,cvat_tracking_xml,Pigs291119_000233,Pigs291119_000233,291119,918,923,exclude|train,FOLD_1,train,exclude,lying,lying_enriched,reviewed_engineering_amendment_992f34c0204a85a1,ab86e2e04267cfdc8248f9bdb8774615479d67a3589f7a25844bb1a4c93a639e,557156a7eb6cceeb6a91f667f7c51dcb286e3111f35f414970fa7431acc7e63b,posture_500_a566c58d252c1642,human_review_completed,TuanHM,2026-08-07T00:35:30+07:00,,PASS,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\videos\Pigs291119_000233_30fps.mp4,PASS,PASS,True,True,False
source=cvat_tracking_xml|dataset=cvat_tracking_Pigs291119_000226_30fps|video=Pigs291119_000226_30fps|track_id=7|anchor=1332,source=cvat_tracking_xml|dataset=cvat_tracking_Pigs291119_000226_30fps|video=Pigs291119_000226_30fps|track_id=7,sitting,sitting,sitting,human_review,cvat_tracking_xml,Pigs291119_000226_30fps,Pigs291119_000226_30fps,291119,1332,1337,exclude|train,FOLD_1,train,exclude,lying,lying_enriched,reviewed_engineering_amendment_992f34c0204a85a1,ab86e2e04267cfdc8248f9bdb8774615479d67a3589f7a25844bb1a4c93a639e,557156a7eb6cceeb6a91f667f7c51dcb286e3111f35f414970fa7431acc7e63b,posture_500_a566c58d252c1642,human_review_completed,TuanHM,2026-08-07T00:36:17+07:00,,PASS,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\videos\Pigs291119_000226_30fps.mp4,PASS,PASS,True,True,False
source=cvat_tracking_xml|dataset=cvat_tracking_Pigs281119_000085_30fps|video=Pigs281119_000085_30fps|track_id=0|anchor=0,source=cvat_tracking_xml|dataset=cvat_tracking_Pigs281119_000085_30fps|video=Pigs281119_000085_30fps|track_id=0,lying,lying,lying,human_review,cvat_tracking_xml,Pigs281119_000085_30fps,Pigs281119_000085_30fps,281119,0,5,exclude|validation,FOLD_3,validation,exclude,lying,lying_enriched,reviewed_engineering_amendment_992f34c0204a85a1,ab86e2e04267cfdc8248f9bdb8774615479d67a3589f7a25844bb1a4c93a639e,557156a7eb6cceeb6a91f667f7c51dcb286e3111f35f414970fa7431acc7e63b,posture_500_a566c58d252c1642,human_review_completed,TuanHM,2026-08-07T00:36:41+07:00,,PASS,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\videos\Pigs281119_000085_30fps.mp4,PASS,PASS,True,True,False
source=cvat_tracking_xml|dataset=cvat_tracking_Pigs281119_000085_30fps|video=Pigs281119_000085_30fps|track_id=7|anchor=288,source=cvat_tracking_xml|dataset=cvat_tracking_Pigs281119_000085_30fps|video=Pigs281119_000085_30fps|track_id=7,lying,lying,lying,human_review,cvat_tracking_xml,Pigs281119_000085_30fps,Pigs281119_000085_30fps,281119,288,293,exclude|validation,FOLD_3,validation,exclude,lying,lying_enriched,reviewed_engineering_amendment_992f34c0204a85a1,ab86e2e04267cfdc8248f9bdb8774615479d67a3589f7a25844bb1a4c93a639e,557156a7eb6cceeb6a91f667f7c51dcb286e3111f35f414970fa7431acc7e63b,posture_500_a566c58d252c1642,human_review_completed,TuanHM,2026-08-07T00:36:44+07:00,,PASS,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\videos\Pigs281119_000085_30fps.mp4,PASS,PASS,True,True,False
source=cvat_tracking_xml|dataset=cvat_tracking_Pigs281119_000085_30fps|video=Pigs281119_000085_30fps|track_id=1|anchor=60,source=cvat_tracking_xml|dataset=cvat_tracking_Pigs281119_000085_30fps|video=Pigs281119_000085_30fps|track_id=1,sitting,sitting,sitting,human_review,cvat_tracking_xml,Pigs281119_000085_30fps,Pigs281119_000085_30fps,281119,60,65,exclude|validation,FOLD_3,validation,exclude,lying,lying_enriched,reviewed_engineering_amendment_992f34c0204a85a1,ab86e2e04267cfdc8248f9bdb8774615479d67a3589f7a25844bb1a4c93a639e,557156a7eb6cceeb6a91f667f7c51dcb286e3111f35f414970fa7431acc7e63b,posture_500_a566c58d252c1642,human_review_completed,TuanHM,2026-08-07T00:36:47+07:00,,PASS,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\videos\Pigs281119_000085_30fps.mp4,PASS,PASS,True,True,False
source=cvat_tracking_xml|dataset=cvat_tracking_Pigs281119_000085_30fps|video=Pigs281119_000085_30fps|track_id=0|anchor=1104,source=cvat_tracking_xml|dataset=cvat_tracking_Pigs281119_000085_30fps|video=Pigs281119_000085_30fps|track_id=0,lying,lying,lying,human_review,cvat_tracking_xml,Pigs281119_000085_30fps,Pigs281119_000085_30fps,281119,1104,1109,exclude|validation,FOLD_3,validation,exclude,lying,lying_enriched,reviewed_engineering_amendment_992f34c0204a85a1,ab86e2e04267cfdc8248f9bdb8774615479d67a3589f7a25844bb1a4c93a639e,557156a7eb6cceeb6a91f667f7c51dcb286e3111f35f414970fa7431acc7e63b,posture_500_a566c58d252c1642,human_review_completed,TuanHM,2026-08-07T00:37:43+07:00,,PASS,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\videos\Pigs281119_000085_30fps.mp4,PASS,PASS,True,True,False
source=cvat_tracking_xml|dataset=cvat_tracking_Pigs281119_000085_30fps|video=Pigs281119_000085_30fps|track_id=7|anchor=1080,source=cvat_tracking_xml|dataset=cvat_tracking_Pigs281119_000085_30fps|video=Pigs281119_000085_30fps|track_id=7,lying,lying,lying,human_review,cvat_tracking_xml,Pigs281119_000085_30fps,Pigs281119_000085_30fps,281119,1080,1085,exclude|validation,FOLD_3,validation,exclude,lying,lying_enriched,reviewed_engineering_amendment_992f34c0204a85a1,ab86e2e04267cfdc8248f9bdb8774615479d67a3589f7a25844bb1a4c93a639e,557156a7eb6cceeb6a91f667f7c51dcb286e3111f35f414970fa7431acc7e63b,posture_500_a566c58d252c1642,human_review_completed,TuanHM,2026-08-07T00:37:46+07:00,,PASS,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\videos\Pigs281119_000085_30fps.mp4,PASS,PASS,True,True,False
source=legacy_recovered|dataset=legacy_recovered_16f|video=pigs041219%2F000251|track_id=tracklet_00004449|legacy_sequence,source=legacy_recovered|dataset=legacy_recovered_16f|video=pigs041219%2F000251|track_id=tracklet_00004449,lying,lying,lying,human_review,legacy_recovered,pigs041219/000251,pigs041219/000251,041219,0,15,train,FOLD_4,train,,lying,lying_enriched,reviewed_engineering_amendment_992f34c0204a85a1,ab86e2e04267cfdc8248f9bdb8774615479d67a3589f7a25844bb1a4c93a639e,557156a7eb6cceeb6a91f667f7c51dcb286e3111f35f414970fa7431acc7e63b,posture_500_a566c58d252c1642,human_review_completed,TuanHM,2026-08-07T00:37:48+07:00,,PASS,E:\PigProjectStorage\PIG_Behavior_Project\outputs\legacy_16f_rebuild\legacy_16f_rebuild_20260718_v2\06_full_recovery\crops\dense_tracklet_0_to_12\pigs041219\000251\burst_color_f8e9011e_133\ID_3\f000000.jpg,PASS,PASS,True,True,True
