group_dimension,group_value,posture_label,machine_decision_value,support_count,usable_support_count,group_total
source_type,cvat_tracking_xml,lying,lying,88,88,197
source_type,cvat_tracking_xml,sitting,sitting,105,105,197
source_type,cvat_tracking_xml,upright,upright,4,4,197
source_type,cvat_tracking_xml,unresolved,unresolved,0,0,197
source_type,cvat_tracking_xml,exclude,technical_exclude,0,0,197
source_type,legacy_recovered,lying,lying,106,106,303
source_type,legacy_recovered,sitting,sitting,99,99,303
source_type,legacy_recovered,upright,upright,98,98,303
source_type,legacy_recovered,unresolved,unresolved,0,0,303
source_type,legacy_recovered,exclude,technical_exclude,0,0,303
recording_date,031219,lying,lying,23,23,58
recording_date,031219,sitting,sitting,19,19,58
recording_date,031219,upright,upright,16,16,58
recording_date,031219,unresolved,unresolved,0,0,58
recording_date,031219,exclude,technical_exclude,0,0,58
recording_date,041219,lying,lying,30,30,56
recording_date,041219,sitting,sitting,16,16,56
recording_date,041219,upright,upright,10,10,56
recording_date,041219,unresolved,unresolved,0,0,56
recording_date,041219,exclude,technical_exclude,0,0,56
recording_date,051219,lying,lying,4,4,18
recording_date,051219,sitting,sitting,5,5,18
recording_date,051219,upright,upright,9,9,18
recording_date,051219,unresolved,unresolved,0,0,18
recording_date,051219,exclude,technical_exclude,0,0,18
recording_date,081119,lying,lying,4,4,41
recording_date,081119,sitting,sitting,15,15,41
recording_date,081119,upright,upright,22,22,41
recording_date,081119,unresolved,unresolved,0,0,41
recording_date,081119,exclude,technical_exclude,0,0,41
recording_date,091119,lying,lying,3,3,22
recording_date,091119,sitting,sitting,10,10,22
recording_date,091119,upright,upright,9,9,22
recording_date,091119,unresolved,unresolved,0,0,22
recording_date,091119,exclude,technical_exclude,0,0,22
recording_date,101219,lying,lying,0,0,11
recording_date,101219,sitting,sitting,0,0,11
recording_date,101219,upright,upright,11,11,11
recording_date,101219,unresolved,unresolved,0,0,11
recording_date,101219,exclude,technical_exclude,0,0,11
recording_date,111219,lying,lying,0,0,8
recording_date,111219,sitting,sitting,0,0,8
recording_date,111219,upright,upright,8,8,8
recording_date,111219,unresolved,unresolved,0,0,8
recording_date,111219,exclude,technical_exclude,0,0,8
recording_date,151119,lying,lying,5,5,25
recording_date,151119,sitting,sitting,14,14,25
recording_date,151119,upright,upright,6,6,25
recording_date,151119,unresolved,unresolved,0,0,25
recording_date,151119,exclude,technical_exclude,0,0,25
recording_date,161119,lying,lying,3,3,7
recording_date,161119,sitting,sitting,3,3,7
recording_date,161119,upright,upright,1,1,7
recording_date,161119,unresolved,unresolved,0,0,7
recording_date,161119,exclude,technical_exclude,0,0,7
recording_date,271119,lying,lying,14,14,29
recording_date,271119,sitting,sitting,9,9,29
recording_date,271119,upright,upright,6,6,29
recording_date,271119,unresolved,unresolved,0,0,29
recording_date,271119,exclude,technical_exclude,0,0,29
recording_date,281119,lying,lying,25,25,75
recording_date,281119,sitting,sitting,49,49,75
recording_date,281119,upright,upright,1,1,75
recording_date,281119,unresolved,unresolved,0,0,75
recording_date,281119,exclude,technical_exclude,0,0,75
recording_date,291119,lying,lying,71,71,75
recording_date,291119,sitting,sitting,3,3,75
recording_date,291119,upright,upright,1,1,75
recording_date,291119,unresolved,unresolved,0,0,75
recording_date,291119,exclude,technical_exclude,0,0,75
