contract_item_id,contract_item_type,source_file,symbol,line_range,test_file,test_name,audit_output,current_implementation_status
stage.legacy_cvat_source_merge,stage,src/pig_behavior/classification_v2/merge_sources.py,merge_frame_object_sources,27-78,tests/test_classification_v2_identifier_contract.py,,merged_frame_objects_audit.json,IMPLEMENTED_PARTIALLY_TESTED
stage.legacy_cvat_source_merge,stage,src/pig_behavior/classification_v2/contracts/identifiers.py,ensure_object_track_keys,125-195,tests/test_classification_v2_identifier_contract.py,,merged_frame_objects_audit.json,IMPLEMENTED_PARTIALLY_TESTED
stage.legacy_cvat_source_merge,stage,src/pig_behavior/classification_v2/contracts/candidate_manifest.py,build_candidate_artifact_manifest,1768-2108,tests/test_classification_v2_identifier_contract.py,,merged_frame_objects_audit.json,IMPLEMENTED_PARTIALLY_TESTED
stage.frame_local_primitives,stage,src/pig_behavior/classification_v2/features/frame_local.py,build_frame_local_primitives,140-180,tests/test_classification_v2_pre_review_science.py,,frame_local_audit.json,IMPLEMENTED_AND_TESTED
stage.frame_local_primitives,stage,src/pig_behavior/classification_v2/contracts/candidate_manifest.py,build_candidate_artifact_manifest,1768-2108,tests/test_classification_v2_pre_review_science.py,,frame_local_audit.json,IMPLEMENTED_AND_TESTED
stage.hidden_review_design,stage,src/pig_behavior/classification_v2/review/hidden_review_builder.py,build_hidden_review_manifest,410-542,tests/test_classification_v2_hidden_review.py,,hidden_review_manifest_audit.json,IMPLEMENTED_AND_TESTED
stage.hidden_review_design,stage,src/pig_behavior/classification_v2/contracts/candidate_manifest.py,build_candidate_artifact_manifest,1768-2108,tests/test_classification_v2_hidden_review.py,,hidden_review_manifest_audit.json,IMPLEMENTED_AND_TESTED
stage.hidden_decision_migration,stage,src/pig_behavior/classification_v2/review/hidden_review_migration.py,carry_forward_hidden_review_decisions,244-458,tests/test_classification_v2_hidden_carry_forward_production.py,,hidden_carry_forward_audit.json,IMPLEMENTED_AND_TESTED
stage.hidden_decision_migration,stage,src/pig_behavior/classification_v2/contracts/candidate_manifest.py,build_candidate_artifact_manifest,1768-2108,tests/test_classification_v2_hidden_carry_forward_production.py,,hidden_carry_forward_audit.json,IMPLEMENTED_AND_TESTED
stage.hidden_gui,stage,scripts/classification_v2/01_review_units_gui/review_hidden_quality_gui.py,main,1147-1210,tests/test_hidden_review_gui_resume.py,,hidden_decision_coverage.json,IMPLEMENTED_PARTIALLY_TESTED
stage.hidden_coverage_scientific_gate,stage,src/pig_behavior/classification_v2/review/hidden_review_science.py,evaluate_hidden_scientific_gate,191-340,tests/test_classification_v2_hidden_review_science.py,,hidden_scientific_gate.json,IMPLEMENTED_AND_TESTED
stage.hidden_coverage_scientific_gate,stage,src/pig_behavior/classification_v2/contracts/candidate_manifest.py,build_candidate_artifact_manifest,1768-2108,tests/test_classification_v2_hidden_review_science.py,,hidden_scientific_gate.json,IMPLEMENTED_AND_TESTED
stage.hidden_apply,stage,src/pig_behavior/classification_v2/review/hidden_review_builder.py,apply_hidden_review_decisions,1162-1229,tests/test_classification_v2_hidden_apply_contract.py,,hidden_apply_audit.json,IMPLEMENTED_AND_TESTED
stage.hidden_apply,stage,src/pig_behavior/classification_v2/contracts/candidate_manifest.py,build_candidate_artifact_manifest,1768-2108,tests/test_classification_v2_hidden_apply_contract.py,,hidden_apply_audit.json,IMPLEMENTED_AND_TESTED
stage.temporal_harmonization,stage,src/pig_behavior/classification_v2/features/temporal_harmonization.py,harmonize_temporal_labels,98-139,tests/test_classification_v2_pre_review_science.py,,temporal_harmonization_audit.json,IMPLEMENTED_AND_TESTED
stage.temporal_harmonization,stage,src/pig_behavior/classification_v2/contracts/candidate_manifest.py,build_candidate_artifact_manifest,1768-2108,tests/test_classification_v2_pre_review_science.py,,temporal_harmonization_audit.json,IMPLEMENTED_AND_TESTED
stage.native_review_evidence,stage,src/pig_behavior/classification_v2/features/spatiotemporal.py,build_enhanced_spatiotemporal_features,220-317,tests/test_classification_v2_phase1_pair_contract.py,,native_review_evidence_audit.json,IMPLEMENTATION_DIFFERS_FROM_CONTRACT
stage.native_review_evidence,stage,src/pig_behavior/classification_v2/features/native_evidence_contract.py,check_native_review_evidence,122-227,tests/test_classification_v2_phase1_pair_contract.py,,native_review_evidence_audit.json,IMPLEMENTATION_DIFFERS_FROM_CONTRACT
stage.native_review_evidence,stage,src/pig_behavior/classification_v2/contracts/candidate_manifest.py,build_candidate_artifact_manifest,1768-2108,tests/test_classification_v2_phase1_pair_contract.py,,native_review_evidence_audit.json,IMPLEMENTATION_DIFFERS_FROM_CONTRACT
stage.pig_strenet_evidence,stage,src/pig_behavior/classification_v2/features/pig_strenet_artifacts.py,build_pig_strenet_artifacts,209-361,tests/test_classification_v2_pig_strenet_artifacts.py,,pig_strenet_artifact_audit.json,IMPLEMENTED_AND_TESTED
stage.pig_strenet_evidence,stage,src/pig_behavior/classification_v2/features/pig_strenet_checkpoint.py,PigSTRENetCheckpointStore,20-298,tests/test_classification_v2_pig_strenet_artifacts.py,,pig_strenet_artifact_audit.json,IMPLEMENTED_AND_TESTED
stage.pig_strenet_evidence,stage,scripts/classification_v2/03_image_cache_context/classification_v2_build_pig_strenet_artifacts.py,_recover_publication,507-628,tests/test_classification_v2_pig_strenet_artifacts.py,,pig_strenet_artifact_audit.json,IMPLEMENTED_AND_TESTED
