class_name,model,original_5fold_mean_f1,bootstrap_mean_f1,ci95_lower,ci95_upper
drink,Model A,0.8537,0.6920,0.3468,0.8903
drink,Model J,0.8743,0.7138,0.3753,0.9229
drink,E_J Fixed 50/50,0.9075,0.7405,0.3823,0.9456
eat,Model A,0.9456,0.9003,0.7876,0.9652
eat,Model J,0.9506,0.8980,0.7790,0.9677
eat,E_J Fixed 50/50,0.9524,0.9084,0.7937,0.9722
fight,Model A,0.6906,0.5628,0.3434,0.7166
fight,Model J,0.6920,0.5586,0.3247,0.7127
fight,E_J Fixed 50/50,0.7009,0.5507,0.2900,0.7170
social-nose,Model A,0.4289,0.3454,0.1835,0.4781
social-nose,Model J,0.4017,0.3281,0.1906,0.4396
social-nose,E_J Fixed 50/50,0.3484,0.2890,0.1646,0.3875
explore,Model A,0.7814,0.7668,0.7097,0.7927
explore,Model J,0.7963,0.7817,0.7207,0.8091
explore,E_J Fixed 50/50,0.8095,0.7928,0.7312,0.8232
lying,Model A,0.8212,0.8107,0.6693,0.8577
lying,Model J,0.8144,0.8056,0.6592,0.8607
lying,E_J Fixed 50/50,0.8529,0.8430,0.7164,0.8889
stand,Model A,0.2316,0.2365,0.1884,0.3015
stand,Model J,0.2416,0.2443,0.1872,0.3042
stand,E_J Fixed 50/50,0.2637,0.2782,0.2268,0.3794
move,Model A,0.5136,0.5024,0.3988,0.5765
move,Model J,0.5207,0.5110,0.3970,0.5828
move,E_J Fixed 50/50,0.5558,0.5459,0.4270,0.6238
sitting,Model A,0.8955,0.8730,0.8112,0.9104
sitting,Model J,0.8986,0.8786,0.8253,0.9102
sitting,E_J Fixed 50/50,0.9147,0.8943,0.8421,0.9283
playwithtoy,Model A,0.6158,0.4697,0.2134,0.6830
playwithtoy,Model J,0.6562,0.5108,0.2571,0.7057
playwithtoy,E_J Fixed 50/50,0.6333,0.4966,0.2564,0.6817
