arm,legacy_authority,legacy_contract,legacy_metric_name,legacy_value,corrected_v2_metric_name,corrected_value,absolute_difference,relative_difference,comparison_validity,likely_cause_of_difference,status
B0,C:\Users\ironh\Downloads\PIG_Behavior_Project\outputs\eval\mode_compare\20260709_040751\bytetrack_raw\iou0_area0_condarea0_merge0\tracking_metrics.csv,TRACKING_EVALUATOR_LEGACY_V1,fn,2380,fn,480,-1900,-0.79831932773109249,NOT_COMPARABLE,Standard-V2 formula and matching contract; frozen prediction bytes are unchanged by evaluation.,LEGACY_METRIC_NOT_COMPARABLE
B0,C:\Users\ironh\Downloads\PIG_Behavior_Project\outputs\eval\mode_compare\20260709_040751\bytetrack_raw\iou0_area0_condarea0_merge0\tracking_metrics.csv,TRACKING_EVALUATOR_LEGACY_V1,fp,3108,fp,480,-2628,-0.84555984555984554,NOT_COMPARABLE,Standard-V2 formula and matching contract; frozen prediction bytes are unchanged by evaluation.,LEGACY_METRIC_NOT_COMPARABLE
B0,C:\Users\ironh\Downloads\PIG_Behavior_Project\outputs\eval\mode_compare\20260709_040751\bytetrack_raw\iou0_area0_condarea0_merge0\tracking_metrics.csv,TRACKING_EVALUATOR_LEGACY_V1,fragments,1111,fragments,141,-970,-0.87308730873087304,NOT_COMPARABLE,Standard-V2 formula and matching contract; frozen prediction bytes are unchanged by evaluation.,LEGACY_METRIC_NOT_COMPARABLE
B0,C:\Users\ironh\Downloads\PIG_Behavior_Project\outputs\eval\mode_compare\20260709_040751\bytetrack_raw\iou0_area0_condarea0_merge0\tracking_metrics.csv,TRACKING_EVALUATOR_LEGACY_V1,hota,0.87992593796452834,hota,0.84951140269980352,-0.030414535264724818,-0.034564880920638225,NOT_COMPARABLE,Standard-V2 formula and matching contract; frozen prediction bytes are unchanged by evaluation.,LEGACY_METRIC_NOT_COMPARABLE
B0,C:\Users\ironh\Downloads\PIG_Behavior_Project\outputs\eval\mode_compare\20260709_040751\bytetrack_raw\iou0_area0_condarea0_merge0\tracking_metrics.csv,TRACKING_EVALUATOR_LEGACY_V1,idf1,0.878577539064615,idf1,0.92064636752136753,0.042068828456752527,0.047882886354619833,NOT_COMPARABLE,Standard-V2 formula and matching contract; frozen prediction bytes are unchanged by evaluation.,LEGACY_METRIC_NOT_COMPARABLE
B0,C:\Users\ironh\Downloads\PIG_Behavior_Project\outputs\eval\mode_compare\20260709_040751\bytetrack_raw\iou0_area0_condarea0_merge0\tracking_metrics.csv,TRACKING_EVALUATOR_LEGACY_V1,idsw,101,idsw_standard,84,-17,-0.16831683168316833,NOT_COMPARABLE,Standard-V2 formula and matching contract; frozen prediction bytes are unchanged by evaluation.,LEGACY_METRIC_NOT_COMPARABLE
B1,docs/TRACKING_PROMOTION_DECISION_20260719_HYBRID_H5B_H4.json,TRACKING_EVALUATOR_LEGACY_V1,fn,1593,fn,733,-860,-0.53986189579409916,DIRECTIONAL_ONLY,Standard-V2 formula and matching contract; frozen prediction bytes are unchanged by evaluation.,LEGACY_DIRECTION_PRESERVED_VALUE_CHANGED
B1,docs/TRACKING_PROMOTION_DECISION_20260719_HYBRID_H5B_H4.json,TRACKING_EVALUATOR_LEGACY_V1,fp,1593,fp,733,-860,-0.53986189579409916,DIRECTIONAL_ONLY,Standard-V2 formula and matching contract; frozen prediction bytes are unchanged by evaluation.,LEGACY_DIRECTION_PRESERVED_VALUE_CHANGED
B1,docs/TRACKING_PROMOTION_DECISION_20260719_HYBRID_H5B_H4.json,TRACKING_EVALUATOR_LEGACY_V1,fragments,426,fragments,127,-299,-0.7018779342723005,DIRECTIONAL_ONLY,Standard-V2 formula and matching contract; frozen prediction bytes are unchanged by evaluation.,LEGACY_DIRECTION_PRESERVED_VALUE_CHANGED
B1,docs/TRACKING_PROMOTION_DECISION_20260719_HYBRID_H5B_H4.json,TRACKING_EVALUATOR_LEGACY_V1,hota,0.98350622702907387,hota,0.84987338867100315,-0.13363283835807072,-0.13587391181217232,NOT_COMPARABLE,Standard-V2 formula and matching contract; frozen prediction bytes are unchanged by evaluation.,LEGACY_METRIC_NOT_COMPARABLE
B1,docs/TRACKING_PROMOTION_DECISION_20260719_HYBRID_H5B_H4.json,TRACKING_EVALUATOR_LEGACY_V1,idf1,0.99149038461538463,idf1,0.91408119658119658,-0.077409188034188059,-0.078073564035839191,DIRECTIONAL_ONLY,Standard-V2 formula and matching contract; frozen prediction bytes are unchanged by evaluation.,LEGACY_DIRECTION_PRESERVED_VALUE_CHANGED
B1,docs/TRACKING_PROMOTION_DECISION_20260719_HYBRID_H5B_H4.json,TRACKING_EVALUATOR_LEGACY_V1,idsw,0,idsw_standard,64,64,,DIRECTIONAL_ONLY,Standard-V2 formula and matching contract; frozen prediction bytes are unchanged by evaluation.,LEGACY_DIRECTION_PRESERVED_VALUE_CHANGED
R0,outputs/tracking/current_main_baseline_20260728/CURRENT_MAIN_R0_AUTHORITY.json,TRACKING_EVALUATOR_LEGACY_V1,fn,610,fn,597,-13,-0.021311475409836064,DIRECTIONAL_ONLY,Standard-V2 formula and matching contract; frozen prediction bytes are unchanged by evaluation.,LEGACY_DIRECTION_PRESERVED_VALUE_CHANGED
R0,outputs/tracking/current_main_baseline_20260728/CURRENT_MAIN_R0_AUTHORITY.json,TRACKING_EVALUATOR_LEGACY_V1,fp,486,fp,473,-13,-0.026748971193415638,DIRECTIONAL_ONLY,Standard-V2 formula and matching contract; frozen prediction bytes are unchanged by evaluation.,LEGACY_DIRECTION_PRESERVED_VALUE_CHANGED
R0,outputs/tracking/current_main_baseline_20260728/CURRENT_MAIN_R0_AUTHORITY.json,TRACKING_EVALUATOR_LEGACY_V1,fragments,107,fragments,107,0,0,DIRECTIONAL_ONLY,Standard-V2 formula and matching contract; frozen prediction bytes are unchanged by evaluation.,LEGACY_DIRECTION_PRESERVED_VALUE_CHANGED
R0,outputs/tracking/current_main_baseline_20260728/CURRENT_MAIN_R0_AUTHORITY.json,TRACKING_EVALUATOR_LEGACY_V1,hota,0.97043983154505575,hota,0.88818723158570978,-0.082252599959345973,-0.084758062566733308,NOT_COMPARABLE,Standard-V2 formula and matching contract; frozen prediction bytes are unchanged by evaluation.,LEGACY_METRIC_NOT_COMPARABLE
R0,outputs/tracking/current_main_baseline_20260728/CURRENT_MAIN_R0_AUTHORITY.json,TRACKING_EVALUATOR_LEGACY_V1,idf1,0.97077023373125715,idf1,0.97189240026077017,0.0011221665295130245,0.001155954818680276,DIRECTIONAL_ONLY,Standard-V2 formula and matching contract; frozen prediction bytes are unchanged by evaluation.,LEGACY_DIRECTION_PRESERVED_VALUE_CHANGED
R0,outputs/tracking/current_main_baseline_20260728/CURRENT_MAIN_R0_AUTHORITY.json,TRACKING_EVALUATOR_LEGACY_V1,idsw,53,idsw_standard,29,-24,-0.45283018867924529,DIRECTIONAL_ONLY,Standard-V2 formula and matching contract; frozen prediction bytes are unchanged by evaluation.,LEGACY_DIRECTION_PRESERVED_VALUE_CHANGED
