comparison_id,metric,bootstrap_seed,resampling_unit,resample_count,CI_method,cluster_count,mean_paired_difference,bootstrap_2_5_percentile,bootstrap_97_5_percentile,formal_CI_status,reason
C1,HOTA,20260730,VIDEO,10000,PERCENTILE_DESCRIPTIVE,13,0.04090533012953753,0.017189366235173722,0.06632230334795067,INSUFFICIENT_INDEPENDENT_CLUSTERS_FOR_RELIABLE_CI,"Thirteen video units exist, but recording-session independence is not proven."
C1,AssA,20260730,VIDEO,10000,PERCENTILE_DESCRIPTIVE,13,0.07439617047474001,0.031530352052236935,0.11981010605532684,INSUFFICIENT_INDEPENDENT_CLUSTERS_FOR_RELIABLE_CI,"Thirteen video units exist, but recording-session independence is not proven."
C1,IDF1,20260730,VIDEO,10000,PERCENTILE_DESCRIPTIVE,13,0.05121184605369982,0.02044818376068367,0.08533633088526332,INSUFFICIENT_INDEPENDENT_CLUSTERS_FOR_RELIABLE_CI,"Thirteen video units exist, but recording-session independence is not proven."
C1,wrong_identity_frames,20260730,VIDEO,10000,PERCENTILE_DESCRIPTIVE,13,-1534.8461538461538,-2345.9557692307694,-730.0596153846157,INSUFFICIENT_INDEPENDENT_CLUSTERS_FOR_RELIABLE_CI,"Thirteen video units exist, but recording-session independence is not proven."
C1,wrong_identity_seconds,20260730,VIDEO,10000,PERCENTILE_DESCRIPTIVE,13,-51.16153846153654,-79.31820512820225,-24.361282051281044,INSUFFICIENT_INDEPENDENT_CLUSTERS_FOR_RELIABLE_CI,"Thirteen video units exist, but recording-session independence is not proven."
C2,HOTA,20260730,VIDEO,10000,PERCENTILE_DESCRIPTIVE,13,0.01276120949234334,-0.011822624805733664,0.0438653967155728,INSUFFICIENT_INDEPENDENT_CLUSTERS_FOR_RELIABLE_CI,"Thirteen video units exist, but recording-session independence is not proven."
C2,AssA,20260730,VIDEO,10000,PERCENTILE_DESCRIPTIVE,13,0.03126445787714405,-0.00715327555904515,0.08289681435691708,INSUFFICIENT_INDEPENDENT_CLUSTERS_FOR_RELIABLE_CI,"Thirteen video units exist, but recording-session independence is not proven."
C2,IDF1,20260730,VIDEO,10000,PERCENTILE_DESCRIPTIVE,13,0.01964285480100099,-0.003338808760683752,0.051995204360267826,INSUFFICIENT_INDEPENDENT_CLUSTERS_FOR_RELIABLE_CI,"Thirteen video units exist, but recording-session independence is not proven."
C2,wrong_identity_frames,20260730,VIDEO,10000,PERCENTILE_DESCRIPTIVE,13,-913.0,-1679.6192307692309,-256.0769230769231,INSUFFICIENT_INDEPENDENT_CLUSTERS_FOR_RELIABLE_CI,"Thirteen video units exist, but recording-session independence is not proven."
C2,wrong_identity_seconds,20260730,VIDEO,10000,PERCENTILE_DESCRIPTIVE,13,-30.433333333332452,-56.19743589743433,-8.630641025640776,INSUFFICIENT_INDEPENDENT_CLUSTERS_FOR_RELIABLE_CI,"Thirteen video units exist, but recording-session independence is not proven."
C3,HOTA,20260730,VIDEO,10000,PERCENTILE_DESCRIPTIVE,13,-0.010728606496916222,-0.02723597895694751,0.0008676280503646068,INSUFFICIENT_INDEPENDENT_CLUSTERS_FOR_RELIABLE_CI,"Thirteen video units exist, but recording-session independence is not proven."
C3,AssA,20260730,VIDEO,10000,PERCENTILE_DESCRIPTIVE,13,-0.020965830740043264,-0.052491943573612164,0.0007603103719257627,INSUFFICIENT_INDEPENDENT_CLUSTERS_FOR_RELIABLE_CI,"Thirteen video units exist, but recording-session independence is not proven."
C3,IDF1,20260730,VIDEO,10000,PERCENTILE_DESCRIPTIVE,13,-0.01404117457881926,-0.034882696379860724,0.0005288461538461686,INSUFFICIENT_INDEPENDENT_CLUSTERS_FOR_RELIABLE_CI,"Thirteen video units exist, but recording-session independence is not proven."
C3,wrong_identity_frames,20260730,VIDEO,10000,PERCENTILE_DESCRIPTIVE,13,201.69230769230768,-15.692307692307692,507.7692307692308,INSUFFICIENT_INDEPENDENT_CLUSTERS_FOR_RELIABLE_CI,"Thirteen video units exist, but recording-session independence is not proven."
C3,wrong_identity_seconds,20260730,VIDEO,10000,PERCENTILE_DESCRIPTIVE,13,6.723076923076718,-0.5256410256409982,16.933333333332907,INSUFFICIENT_INDEPENDENT_CLUSTERS_FOR_RELIABLE_CI,"Thirteen video units exist, but recording-session independence is not proven."
