audit_item_id,video_id,frame_or_span,method_id,GT_identity,predicted_identity,GT_bbox,predicted_bbox,Hidden_status,matching_eligibility,error_category,episode_id,metric_contribution,selection_reason,visual_review_status,reviewer_comment
AUDIT-0001,Pigs291119_000233_30fps,1087,hybrid_bytetrack,ID_1,ID_8,"[194.47, 71.41, 546.21, 276.66]","[193.74, 33.44, 546.04, 275.3]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,WRONG_IDENTITY_MATCH,identity-episode-v2-fb528440f6267c716261,one wrong-ID animal-frame,ALL_24_HYBRID_WRONG_ID_FRAMES; ALL_HYBRID_EPISODES,NOT_REVIEWED,
AUDIT-0002,Pigs291119_000233_30fps,1088,hybrid_bytetrack,ID_1,ID_8,"[192.48, 77.55, 547.93, 276.78]","[197.06, 36.37, 545.85, 276.74]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,WRONG_IDENTITY_MATCH,identity-episode-v2-fb528440f6267c716261,one wrong-ID animal-frame,ALL_24_HYBRID_WRONG_ID_FRAMES; ALL_HYBRID_EPISODES,NOT_REVIEWED,
AUDIT-0003,Pigs291119_000233_30fps,1089,hybrid_bytetrack,ID_1,ID_8,"[195.0, 72.0, 544.84, 276.93]","[196.21, 35.19, 546.49, 277.85]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,WRONG_IDENTITY_MATCH,identity-episode-v2-fb528440f6267c716261,one wrong-ID animal-frame,ALL_24_HYBRID_WRONG_ID_FRAMES; ALL_HYBRID_EPISODES,NOT_REVIEWED,
AUDIT-0004,Pigs291119_000233_30fps,1091,hybrid_bytetrack,ID_1,ID_8,"[195.93, 72.8, 541.97, 277.06]","[188.94, 29.03, 543.87, 278.42]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,WRONG_IDENTITY_MATCH,identity-episode-v2-624f311d622a4608aeec,one wrong-ID animal-frame,ALL_24_HYBRID_WRONG_ID_FRAMES; ALL_HYBRID_EPISODES,NOT_REVIEWED,
AUDIT-0005,Pigs291119_000233_30fps,1092,hybrid_bytetrack,ID_1,ID_8,"[196.6, 73.79, 540.74, 277.73]","[191.62, 30.67, 541.0, 277.79]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,WRONG_IDENTITY_MATCH,identity-episode-v2-624f311d622a4608aeec,one wrong-ID animal-frame,ALL_24_HYBRID_WRONG_ID_FRAMES; ALL_HYBRID_EPISODES,NOT_REVIEWED,
AUDIT-0006,Pigs291119_000233_30fps,1093,hybrid_bytetrack,ID_1,ID_8,"[190.91, 81.06, 535.18, 278.34]","[199.16, 40.23, 536.25, 278.75]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,WRONG_IDENTITY_MATCH,identity-episode-v2-624f311d622a4608aeec,one wrong-ID animal-frame,ALL_24_HYBRID_WRONG_ID_FRAMES; ALL_HYBRID_EPISODES,NOT_REVIEWED,
AUDIT-0007,Pigs291119_000233_30fps,1112,hybrid_bytetrack,ID_1,ID_8,"[212.25, 35.45, 566.04, 214.58]","[188.71, 64.49, 535.41, 296.72]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,WRONG_IDENTITY_MATCH,identity-episode-v2-7983c480e7c378fc11ba,one wrong-ID animal-frame,ALL_24_HYBRID_WRONG_ID_FRAMES; ALL_HYBRID_EPISODES; STRATIFIED_RECOVERED_EPISODE_SAMPLE,NOT_REVIEWED,
AUDIT-0008,Pigs291119_000233_30fps,1113,hybrid_bytetrack,ID_1,ID_8,"[211.3, 35.37, 565.01, 215.22]","[183.26, 47.61, 542.42, 297.31]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,WRONG_IDENTITY_MATCH,identity-episode-v2-7983c480e7c378fc11ba,one wrong-ID animal-frame,ALL_24_HYBRID_WRONG_ID_FRAMES; ALL_HYBRID_EPISODES,NOT_REVIEWED,
AUDIT-0009,Pigs291119_000233_30fps,1115,hybrid_bytetrack,ID_1,ID_8,"[216.15, 35.98, 558.68, 216.7]","[192.39, 49.05, 536.92, 293.35]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,WRONG_IDENTITY_MATCH,identity-episode-v2-5f49867d80c786bfbc82,one wrong-ID animal-frame,ALL_24_HYBRID_WRONG_ID_FRAMES; ALL_HYBRID_EPISODES,NOT_REVIEWED,
AUDIT-0010,Pigs291119_000233_30fps,1116,hybrid_bytetrack,ID_1,ID_8,"[219.51, 37.14, 556.34, 209.82]","[201.09, 59.03, 530.13, 291.81]",NO_OR_UNKNOWN,AUTHORITATIVE_ELIGIBLE_MATCH_IOU_0.50,WRONG_IDENTITY_MATCH,identity-episode-v2-5f49867d80c786bfbc82,one wrong-ID animal-frame,ALL_24_HYBRID_WRONG_ID_FRAMES; ALL_HYBRID_EPISODES,NOT_REVIEWED,
