method_id,video_id,session_key,frame_count,duration_seconds,FPS,HOTA,DetA,AssA,LocA,IDF1,IDP,IDR,IDSW_STANDARD,FP,FN,fragments,wrong_identity_frames,wrong_identity_seconds,recovered_identity_episodes,terminal_identity_episodes,persistent_pairwise_swaps,evaluation_status
bytetrack_raw,Pigs281119_000085_30fps,UNKNOWN,1800,60.0,30.0,0.9111606127805274,0.9076036700040911,0.9149925140461214,0.9204247787942166,0.994375,0.994375,0.994375,2,33,33,7,3482,116.06666666666264,0,2,1,COMPARABLE_STANDARD_V2_PRIMARY
bytetrack_raw,Pigs281119_000114_30fps,UNKNOWN,1800,60.0,30.0,0.8257435321147075,0.924300141158672,0.7377616154703629,0.9351109642798816,0.8535416666666666,0.8535416666666666,0.8535416666666666,4,4,4,2,3978,132.59999999999505,0,3,1,COMPARABLE_STANDARD_V2_PRIMARY
bytetrack_raw,Pigs291119_000216_30fps,UNKNOWN,1800,60.0,30.0,0.8759513344501211,0.889019724856552,0.8637806397193075,0.9197162767742524,0.9735416666666666,0.9735416666666666,0.9735416666666666,6,20,20,18,3278,109.26666666666304,1,2,2,COMPARABLE_STANDARD_V2_PRIMARY
bytetrack_raw,Pigs291119_000225_30fps,UNKNOWN,1800,60.0,30.0,0.8633955741333423,0.8517207178003356,0.8792475985407621,0.8817884998895513,0.9972222222222222,0.9972222222222222,0.9972222222222222,0,40,40,19,0,0.0,0,0,0,COMPARABLE_STANDARD_V2_PRIMARY
bytetrack_raw,Pigs291119_000226_30fps,UNKNOWN,1800,60.0,30.0,0.8824753293010233,0.8741856060482655,0.8917925438553349,0.9017527034999852,0.9959027777777778,0.9959027777777778,0.9959027777777778,4,37,37,8,24,0.7999999999999999,2,0,0,COMPARABLE_STANDARD_V2_PRIMARY
bytetrack_raw,Pigs291119_000231_30fps,UNKNOWN,1800,60.0,30.0,0.6288734185351977,0.8853135415723907,0.4469518638471855,0.922102966097638,0.6518055555555555,0.6518055555555555,0.6518055555555555,29,115,115,16,5333,177.76666666665915,10,5,0,COMPARABLE_STANDARD_V2_PRIMARY
bytetrack_raw,Pigs291119_000233_30fps,UNKNOWN,1800,60.0,30.0,0.7647016804999115,0.9157344725861466,0.6386142467641444,0.943965127930657,0.7993055555555556,0.7993055555555556,0.7993055555555556,19,126,126,24,2869,95.63333333333048,7,4,0,COMPARABLE_STANDARD_V2_PRIMARY
bytetrack_raw,Pigs291119_000263_30fps,UNKNOWN,1800,60.0,30.0,0.8501508670629677,0.9014900307245504,0.8018465281638258,0.9144241365066496,0.9455555555555556,0.9455555555555556,0.9455555555555556,2,11,11,10,2883,96.09999999999712,20,2,1,COMPARABLE_STANDARD_V2_PRIMARY
bytetrack_raw,Pigs291119_000302_30fps,UNKNOWN,1800,60.0,30.0,0.8661556605162692,0.9279857144549986,0.8090118359199479,0.9304281524448996,0.9213888888888888,0.9213888888888888,0.9213888888888888,2,23,23,7,2470,82.33333333333121,1,2,1,COMPARABLE_STANDARD_V2_PRIMARY
bytetrack_raw,Pigs301119_000327_30fps,UNKNOWN,1800,60.0,30.0,0.8671287433438299,0.8855678070457194,0.8491125764004661,0.903453660646742,0.979097222222222,0.979097222222222,0.979097222222222,6,16,16,10,3310,110.33333333332963,2,2,1,COMPARABLE_STANDARD_V2_PRIMARY
bytetrack_raw,Pigs301119_000328_30fps,UNKNOWN,1800,60.0,30.0,0.9140975563129518,0.9081357430272424,0.9206483293428626,0.9268361495982396,0.9860416666666668,0.9860416666666668,0.9860416666666668,4,50,50,15,152,5.0666666666666575,2,0,1,COMPARABLE_STANDARD_V2_PRIMARY
bytetrack_raw,Pigs301119_000329_30fps,UNKNOWN,1800,60.0,30.0,0.9212264683498436,0.9253050674322696,0.9173505501429808,0.9343134932841928,0.9882638888888888,0.9882638888888888,0.9882638888888888,2,3,3,3,168,5.59999999999999,0,2,1,COMPARABLE_STANDARD_V2_PRIMARY
bytetrack_raw,Pigs301119_000330_30fps,UNKNOWN,1800,60.0,30.0,0.8226155616885439,0.9189770931706316,0.737143088680549,0.93088380370321,0.8823611111111112,0.8823611111111112,0.8823611111111112,4,2,2,2,3899,129.9666666666619,0,3,1,COMPARABLE_STANDARD_V2_PRIMARY
hybrid_bytetrack,Pigs281119_000085_30fps,UNKNOWN,1800,60.0,30.0,0.919061979253688,0.91525132774431,0.9230360047889724,0.9325197893841036,0.9954166666666666,0.9954166666666666,0.9954166666666666,0,66,66,17,0,0.0,0,0,0,COMPARABLE_STANDARD_V2_PRIMARY
hybrid_bytetrack,Pigs281119_000114_30fps,UNKNOWN,1800,60.0,30.0,0.879722249411858,0.8750840217622112,0.8845055735708888,0.9274838881050445,0.9872222222222222,0.9872222222222222,0.9872222222222222,0,184,184,58,0,0.0,0,0,0,COMPARABLE_STANDARD_V2_PRIMARY
hybrid_bytetrack,Pigs291119_000216_30fps,UNKNOWN,1800,60.0,30.0,0.8853261175849076,0.8728472007681054,0.8984906868718863,0.947192622662535,0.9774305555555556,0.9774305555555556,0.9774305555555556,0,325,325,65,0,0.0,0,0,0,COMPARABLE_STANDARD_V2_PRIMARY
hybrid_bytetrack,Pigs291119_000225_30fps,UNKNOWN,1800,60.0,30.0,0.8309763798642535,0.8156052055702849,0.8516950952765846,0.86682392434155,0.9888194444444444,0.9888194444444444,0.9888194444444444,0,161,161,48,0,0.0,0,0,0,COMPARABLE_STANDARD_V2_PRIMARY
hybrid_bytetrack,Pigs291119_000226_30fps,UNKNOWN,1800,60.0,30.0,0.8822631786656048,0.8727973559910751,0.8925855316977481,0.9067358160351096,0.9969444444444444,0.9969444444444444,0.9969444444444444,0,44,44,19,0,0.0,0,0,0,COMPARABLE_STANDARD_V2_PRIMARY
hybrid_bytetrack,Pigs291119_000231_30fps,UNKNOWN,1800,60.0,30.0,0.9097241025757752,0.9019153628997072,0.9178398223328044,0.9597441257111264,0.9871527777777775,0.9871527777777775,0.9871527777777775,0,185,185,54,0,0.0,0,0,0,COMPARABLE_STANDARD_V2_PRIMARY
hybrid_bytetrack,Pigs291119_000233_30fps,UNKNOWN,1800,60.0,30.0,0.9323114551972635,0.9299025585059488,0.9347419134033282,0.9732909512246956,0.9913194444444444,0.9913194444444444,0.9913194444444444,0,113,113,32,24,0.7999999999999999,8,0,0,COMPARABLE_STANDARD_V2_PRIMARY
hybrid_bytetrack,Pigs291119_000263_30fps,UNKNOWN,1800,60.0,30.0,0.9123537591792384,0.9099005442784002,0.914895462068182,0.9264642993371726,0.9965972222222222,0.9965972222222222,0.9965972222222222,0,49,49,16,0,0.0,0,0,0,COMPARABLE_STANDARD_V2_PRIMARY
hybrid_bytetrack,Pigs291119_000302_30fps,UNKNOWN,1800,60.0,30.0,0.930202435888938,0.9267718813500317,0.9339678343585978,0.9327700983915144,0.9957638888888888,0.9957638888888888,0.9957638888888888,0,61,61,5,0,0.0,0,0,0,COMPARABLE_STANDARD_V2_PRIMARY
