video_id,video_path_or_authority_id,frame_count,duration_seconds,FPS,recording_timestamp_if_proven,camera_id_if_proven,pen_id_if_proven,session_key,session_key_basis,same_session_confidence,independent_cluster_key,notes
Pigs281119_000085_30fps,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\videos\Pigs281119_000085_30fps.mp4,1800,60.0,30.0,NOT_PROVEN,NOT_PROVEN,NOT_PROVEN,UNKNOWN,NO_DOCUMENTED_SESSION_METADATA,UNKNOWN,Pigs281119_000085_30fps,"Filename tokens were not treated as proof of session, camera, pen, or independence."
Pigs281119_000114_30fps,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\videos\Pigs281119_000114_30fps.mp4,1800,60.0,30.0,NOT_PROVEN,NOT_PROVEN,NOT_PROVEN,UNKNOWN,NO_DOCUMENTED_SESSION_METADATA,UNKNOWN,Pigs281119_000114_30fps,"Filename tokens were not treated as proof of session, camera, pen, or independence."
Pigs291119_000216_30fps,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\videos\Pigs291119_000216_30fps.mp4,1800,60.0,30.0,NOT_PROVEN,NOT_PROVEN,NOT_PROVEN,UNKNOWN,NO_DOCUMENTED_SESSION_METADATA,UNKNOWN,Pigs291119_000216_30fps,"Filename tokens were not treated as proof of session, camera, pen, or independence."
Pigs291119_000225_30fps,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\videos\Pigs291119_000225_30fps.mp4,1800,60.0,30.0,NOT_PROVEN,NOT_PROVEN,NOT_PROVEN,UNKNOWN,NO_DOCUMENTED_SESSION_METADATA,UNKNOWN,Pigs291119_000225_30fps,"Filename tokens were not treated as proof of session, camera, pen, or independence."
Pigs291119_000226_30fps,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\videos\Pigs291119_000226_30fps.mp4,1800,60.0,30.0,NOT_PROVEN,NOT_PROVEN,NOT_PROVEN,UNKNOWN,NO_DOCUMENTED_SESSION_METADATA,UNKNOWN,Pigs291119_000226_30fps,"Filename tokens were not treated as proof of session, camera, pen, or independence."
Pigs291119_000231_30fps,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\videos\Pigs291119_000231_30fps.mp4,1800,60.0,30.0,NOT_PROVEN,NOT_PROVEN,NOT_PROVEN,UNKNOWN,NO_DOCUMENTED_SESSION_METADATA,UNKNOWN,Pigs291119_000231_30fps,"Filename tokens were not treated as proof of session, camera, pen, or independence."
Pigs291119_000233_30fps,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\videos\Pigs291119_000233_30fps.mp4,1800,60.0,30.0,NOT_PROVEN,NOT_PROVEN,NOT_PROVEN,UNKNOWN,NO_DOCUMENTED_SESSION_METADATA,UNKNOWN,Pigs291119_000233_30fps,"Filename tokens were not treated as proof of session, camera, pen, or independence."
Pigs291119_000263_30fps,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\videos\Pigs291119_000263_30fps.mp4,1800,60.0,30.0,NOT_PROVEN,NOT_PROVEN,NOT_PROVEN,UNKNOWN,NO_DOCUMENTED_SESSION_METADATA,UNKNOWN,Pigs291119_000263_30fps,"Filename tokens were not treated as proof of session, camera, pen, or independence."
Pigs291119_000302_30fps,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\videos\Pigs291119_000302_30fps.mp4,1800,60.0,30.0,NOT_PROVEN,NOT_PROVEN,NOT_PROVEN,UNKNOWN,NO_DOCUMENTED_SESSION_METADATA,UNKNOWN,Pigs291119_000302_30fps,"Filename tokens were not treated as proof of session, camera, pen, or independence."
Pigs301119_000327_30fps,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\videos\Pigs301119_000327_30fps.mp4,1800,60.0,30.0,NOT_PROVEN,NOT_PROVEN,NOT_PROVEN,UNKNOWN,NO_DOCUMENTED_SESSION_METADATA,UNKNOWN,Pigs301119_000327_30fps,"Filename tokens were not treated as proof of session, camera, pen, or independence."
Pigs301119_000328_30fps,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\videos\Pigs301119_000328_30fps.mp4,1800,60.0,30.0,NOT_PROVEN,NOT_PROVEN,NOT_PROVEN,UNKNOWN,NO_DOCUMENTED_SESSION_METADATA,UNKNOWN,Pigs301119_000328_30fps,"Filename tokens were not treated as proof of session, camera, pen, or independence."
Pigs301119_000329_30fps,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\videos\Pigs301119_000329_30fps.mp4,1800,60.0,30.0,NOT_PROVEN,NOT_PROVEN,NOT_PROVEN,UNKNOWN,NO_DOCUMENTED_SESSION_METADATA,UNKNOWN,Pigs301119_000329_30fps,"Filename tokens were not treated as proof of session, camera, pen, or independence."
Pigs301119_000330_30fps,C:\Users\ironh\Downloads\PIG_Behavior_Project\data\videos\Pigs301119_000330_30fps.mp4,1800,60.0,30.0,NOT_PROVEN,NOT_PROVEN,NOT_PROVEN,UNKNOWN,NO_DOCUMENTED_SESSION_METADATA,UNKNOWN,Pigs301119_000330_30fps,"Filename tokens were not treated as proof of session, camera, pen, or independence."
