comparison_id,comparison_type,candidate_method,reference_method,metric,cluster_count,mean_paired_difference,median_paired_difference,minimum_paired_difference,maximum_paired_difference,wins,ties,losses,proportion_clusters_improved,leave_one_cluster_out_min,leave_one_cluster_out_max,most_influential_cluster,influence_change_from_full_mean,consistency_interpretation
C1,CURRENT_EXECUTABLE_COMPLETE_METHOD_COMPARISON,realtime_fast,bytetrack_raw,HOTA,13,0.04090533012953753,0.013466041784458871,-0.002361644630214821,0.130095325776016,9,0,4,0.6923076923076923,0.03347283049233099,0.044510911359516896,Pigs291119_000231_30fps,-0.00743249963720654,MIXED_ACROSS_VIDEOS
C1,CURRENT_EXECUTABLE_COMPLETE_METHOD_COMPARISON,realtime_fast,bytetrack_raw,DetA,13,-0.00044404187595008357,-3.203888003866506e-05,-0.009720185216723243,0.010799781567771172,6,0,7,0.46153846153846156,-0.001381027162926855,0.0003289700691143464,Pigs301119_000328_30fps,-0.0009369852869767713,MIXED_ACROSS_VIDEOS
C1,CURRENT_EXECUTABLE_COMPLETE_METHOD_COMPARISON,realtime_fast,bytetrack_raw,AssA,13,0.07439617047474001,0.01998298364192741,-0.0021543770611575086,0.20311495267825214,10,0,3,0.7692307692307693,0.063669605291114,0.08077538276939814,Pigs291119_000231_30fps,-0.01072656518362601,MIXED_ACROSS_VIDEOS
C1,CURRENT_EXECUTABLE_COMPLETE_METHOD_COMPARISON,realtime_fast,bytetrack_raw,LocA,13,-0.0008554873534060489,-0.0008129279780334508,-0.0036620319239679677,0.0011852893494893602,3,0,10,0.23076923076923078,-0.001025552078647333,-0.0006216086391925557,Pigs301119_000327_30fps,0.00023387871421349322,MIXED_ACROSS_VIDEOS
C1,CURRENT_EXECUTABLE_COMPLETE_METHOD_COMPARISON,realtime_fast,bytetrack_raw,IDF1,13,0.05121184605369982,0.011666666666666714,-0.0005555555555556424,0.1808333333333334,11,0,2,0.8461538461538461,0.04041005544706369,0.05552579618780445,Pigs291119_000231_30fps,-0.010801790606636129,MIXED_ACROSS_VIDEOS
C1,CURRENT_EXECUTABLE_COMPLETE_METHOD_COMPARISON,realtime_fast,bytetrack_raw,IDSW_STANDARD,13,-4.230769230769231,-4.0,-21.0,2.0,10,2,1,0.7692307692307693,-4.75,-2.8333333333333335,Pigs291119_000231_30fps,1.3974358974358974,MIXED_ACROSS_VIDEOS
C1,CURRENT_EXECUTABLE_COMPLETE_METHOD_COMPARISON,realtime_fast,bytetrack_raw,wrong_identity_frames,13,-1534.8461538461538,-1200.0,-3978.0,0.0,12,1,0,0.9230769230769231,-1662.75,-1331.25,Pigs281119_000114_30fps,203.5961538461538,CONSISTENT_DIRECTION
C1,CURRENT_EXECUTABLE_COMPLETE_METHOD_COMPARISON,realtime_fast,bytetrack_raw,wrong_identity_seconds,13,-51.16153846153654,-39.99999999999775,-132.59999999999505,0.0,12,1,0,0.9230769230769231,-55.424999999997915,-44.37499999999833,Pigs281119_000114_30fps,6.786538461538207,CONSISTENT_DIRECTION
C1,CURRENT_EXECUTABLE_COMPLETE_METHOD_COMPARISON,realtime_fast,bytetrack_raw,terminal_identity_episodes,13,-1.1538461538461537,-1.0,-3.0,0.0,7,6,0,0.5384615384615384,-1.25,-1.0,Pigs281119_000114_30fps,0.15384615384615374,CONSISTENT_DIRECTION
C1,CURRENT_EXECUTABLE_COMPLETE_METHOD_COMPARISON,realtime_fast,bytetrack_raw,fragments,13,-2.6153846153846154,-2.0,-9.0,2.0,9,2,2,0.6923076923076923,-3.0,-2.0833333333333335,Pigs291119_000216_30fps,0.5320512820512819,MIXED_ACROSS_VIDEOS
