metric,historical_authority_value,latest_full_rerun_value,absolute_difference,exact_metric_match,interpretation
HOTA,0.9002906560906596,0.9002395658079013,-5.109028275829264e-05,False,SUPPLEMENTARY_NEAR_PARITY_NOT_BYTE_EXACT
DetA,0.8897945412373369,0.8897460123037062,-4.852893363072042e-05,False,SUPPLEMENTARY_NEAR_PARITY_NOT_BYTE_EXACT
AssA,0.9119035496598343,0.9118500159783897,-5.3533681444672965e-05,False,SUPPLEMENTARY_NEAR_PARITY_NOT_BYTE_EXACT
LocA,0.9296724339629265,0.9296773757268714,4.941763944832367e-06,False,SUPPLEMENTARY_NEAR_PARITY_NOT_BYTE_EXACT
IDF1,0.9915010683760683,0.9914369658119658,-6.410256410249726e-05,False,SUPPLEMENTARY_NEAR_PARITY_NOT_BYTE_EXACT
IDSW_STANDARD,0,0,0.0,True,SUPPLEMENTARY_NEAR_PARITY_NOT_BYTE_EXACT
FP,1579,1591,12.0,False,SUPPLEMENTARY_NEAR_PARITY_NOT_BYTE_EXACT
FN,1579,1591,12.0,False,SUPPLEMENTARY_NEAR_PARITY_NOT_BYTE_EXACT
fragments,425,426,1.0,False,SUPPLEMENTARY_NEAR_PARITY_NOT_BYTE_EXACT
wrong_identity_frames,24,24,0.0,True,SUPPLEMENTARY_NEAR_PARITY_NOT_BYTE_EXACT
wrong_identity_seconds,0.8,0.7999999999999999,-1.1102230246251565e-16,False,SUPPLEMENTARY_NEAR_PARITY_NOT_BYTE_EXACT
recovered_identity_episodes,8,8,0.0,True,SUPPLEMENTARY_NEAR_PARITY_NOT_BYTE_EXACT
terminal_identity_episodes,0,0,0.0,True,SUPPLEMENTARY_NEAR_PARITY_NOT_BYTE_EXACT
persistent_pairwise_swaps,0,0,0.0,True,SUPPLEMENTARY_NEAR_PARITY_NOT_BYTE_EXACT
