path,line,column,matched_reference,classification,source_text
.agents/memory/01_PROJECT_MEMORY_SHORT.md,45,29,owner_preference,HISTORICAL_DOCUMENTATION,- The maximum uncalibrated `owner_preference_lower_bound` was
.agents/memory/01_PROJECT_MEMORY_SHORT.md,61,34,owner_preference,HISTORICAL_DOCUMENTATION,- Primary score is uncalibrated `owner_preference_lower_bound`; threshold is
.agents/memory/01_PROJECT_MEMORY_SHORT.md,110,25,realtime,HISTORICAL_DOCUMENTATION,"`realtime_fast`, and `realtime` were unchanged. The uncalibrated score is not"
.agents/memory/01_PROJECT_MEMORY_SHORT.md,527,15,realtime,HISTORICAL_DOCUMENTATION,## 2026-07-19 realtime selection is multi-objective
.agents/memory/01_PROJECT_MEMORY_SHORT.md,529,5,realtime,HISTORICAL_DOCUMENTATION,- A realtime winner is not the profile with the highest HOTA/IDF1 or lowest
.agents/memory/01_PROJECT_MEMORY_SHORT.md,545,31,realtime,HISTORICAL_DOCUMENTATION,## 2026-07-19 RQ4 closure and realtime Quality role
.agents/memory/01_PROJECT_MEMORY_SHORT.md,558,27,realtime,HISTORICAL_DOCUMENTATION,"- Quality was a mandatory realtime challenger, not an optional final step."
.agents/memory/01_PROJECT_MEMORY_SHORT.md,564,15,realtime,HISTORICAL_DOCUMENTATION,## 2026-07-19 realtime Pareto selection
.agents/memory/01_PROJECT_MEMORY_SHORT.md,607,31,realtime,HISTORICAL_DOCUMENTATION,- S1 is also below the frozen realtime promotion floor at `18.99 FPS` versus
.agents/memory/01_PROJECT_MEMORY_SHORT.md,633,4,realtime_balanced,HISTORICAL_DOCUMENTATION,"`realtime_balanced` -> `realtime_quality` controls experiment sequencing,"
.agents/memory/01_PROJECT_MEMORY_SHORT.md,634,17,realtime,HISTORICAL_DOCUMENTATION,not the final realtime ranking. Hybrid is complete; fast is the current
.agents/memory/01_PROJECT_MEMORY_SHORT.md,637,9,realtime,HISTORICAL_DOCUMENTATION,"- Final realtime selection must compare every valid Fast, Balanced, and Quality"
.agents/memory/01_PROJECT_MEMORY_SHORT.md,639,12,realtime,HISTORICAL_DOCUMENTATION,selected realtime method and the main table is raw -> Quality -> hybrid.
.agents/memory/01_PROJECT_MEMORY_SHORT.md,641,19,realtime,HISTORICAL_DOCUMENTATION,"selected causal realtime method, and `hybrid_bytetrack_best`. Three realtime"
.agents/memory/01_PROJECT_MEMORY_SHORT.md,641,71,realtime,HISTORICAL_DOCUMENTATION,"selected causal realtime method, and `hybrid_bytetrack_best`. Three realtime"
.agents/memory/01_PROJECT_MEMORY_SHORT.md,647,59,realtime,HISTORICAL_DOCUMENTATION,- Quality remains eligible to become the paper's selected realtime method if a
.agents/memory/01_PROJECT_MEMORY_SHORT.md,650,65,realtime,HISTORICAL_DOCUMENTATION,"can be reported only as delayed/post-video evidence, not as a realtime winner."
.agents/memory/01_PROJECT_MEMORY_SHORT.md,654,15,realtime,HISTORICAL_DOCUMENTATION,## 2026-07-19 realtime quality selection gate
.agents/memory/01_PROJECT_MEMORY_SHORT.md,656,59,realtime,HISTORICAL_DOCUMENTATION,- `realtime_quality` must be evaluated before locking any realtime winner. The
.agents/memory/01_PROJECT_MEMORY_SHORT.md,657,41,realtime,HISTORICAL_DOCUMENTATION,"paper may still show fewer than three realtime profiles, but profile-table"
.agents/memory/01_PROJECT_MEMORY_SHORT.md,661,46,realtime,HISTORICAL_DOCUMENTATION,about `12.09 FPS`. It cannot be called the realtime winner.
.agents/memory/01_PROJECT_MEMORY_SHORT.md,683,43,realtime,HISTORICAL_DOCUMENTATION,identity-payload family is active next; realtime remains closed.
.agents/memory/01_PROJECT_MEMORY_SHORT.md,690,61,realtime,HISTORICAL_DOCUMENTATION,that the `hybrid_bytetrack` lane is complete or authorize realtime work.
.agents/memory/01_PROJECT_MEMORY_SHORT.md,697,8,realtime,HISTORICAL_DOCUMENTATION,Open realtime only after a separate hybrid lane-completion decision passes.
.agents/memory/01_PROJECT_MEMORY_SHORT.md,704,42,realtime,HISTORICAL_DOCUMENTATION,separate later experiment; do not tune realtime in the hybrid experiment.
.agents/memory/01_PROJECT_MEMORY_SHORT.md,716,17,realtime,HISTORICAL_DOCUMENTATION,"- For the later realtime lane, use `realtime_fast` as the operational"
.agents/memory/01_PROJECT_MEMORY_SHORT.md,721,15,realtime_balanced,HISTORICAL_DOCUMENTATION,## 2026-07-18 realtime_balanced hidden-reservation promotion
.agents/memory/01_PROJECT_MEMORY_SHORT.md,723,4,realtime_balanced,HISTORICAL_DOCUMENTATION,- `realtime_balanced` promotes causal hidden-detection reservation with
.agents/memory/01_PROJECT_MEMORY_SHORT.md,1332,15,realtime,HISTORICAL_DOCUMENTATION,## 2026-07-08 realtime full runtime chunk validation
.agents/memory/01_PROJECT_MEMORY_SHORT.md,1334,70,realtime,HISTORICAL_DOCUMENTATION,- Runtime 13-video validation completed in two chunks: `outputs/eval/realtime/runtime_check_quality_delayed_simple_7video/iou0_area0_condarea0_merge0` plus `outputs/eval/realtime/runtime_check_quality_delayed_simple_remaining6/iou0_area0_condarea0_merge0`.
.agents/memory/01_PROJECT_MEMORY_SHORT.md,1334,171,realtime,HISTORICAL_DOCUMENTATION,- Runtime 13-video validation completed in two chunks: `outputs/eval/realtime/runtime_check_quality_delayed_simple_7video/iou0_area0_condarea0_merge0` plus `outputs/eval/realtime/runtime_check_quality_delayed_simple_remaining6/iou0_area0_condarea0_merge0`.
.agents/memory/01_PROJECT_MEMORY_SHORT.md,1335,31,realtime,HISTORICAL_DOCUMENTATION,"- Compared with `outputs/eval/realtime/realtime_balanced_13video/iou0_area0_condarea0_merge0`, per-video runtime total `remapped_idsw 75 -> 21`, `fp/fn` stayed `2320/1055`, no per-video IDSW regression, and `000302=0`."
.agents/memory/01_PROJECT_MEMORY_SHORT.md,1335,40,realtime_balanced,HISTORICAL_DOCUMENTATION,"- Compared with `outputs/eval/realtime/realtime_balanced_13video/iou0_area0_condarea0_merge0`, per-video runtime total `remapped_idsw 75 -> 21`, `fp/fn` stayed `2320/1055`, no per-video IDSW regression, and `000302=0`."
.agents/memory/01_PROJECT_MEMORY_SHORT.md,1338,15,realtime,HISTORICAL_DOCUMENTATION,## 2026-07-08 realtime simple low-gain component pass
.agents/memory/01_PROJECT_MEMORY_SHORT.md,1340,13,realtime_quality_delayed,HISTORICAL_DOCUMENTATION,"- Improved `realtime_quality_delayed` artifact candidate further by adding an opt-in second pass for simple motion components only: `realtime_motion_pair_simple_min_gain=0.005`, `realtime_motion_pair_simple_max_component_size=2`."
.agents/memory/01_PROJECT_MEMORY_SHORT.md,1341,36,realtime,HISTORICAL_DOCUMENTATION,- Evidence artifact: `outputs/eval/realtime/probe_motion_pair_simple005_comp2_13video/iou0_area0_condarea0_merge0`.
.agents/memory/01_PROJECT_MEMORY_SHORT.md,1342,51,realtime,HISTORICAL_DOCUMENTATION,"- Compared with gain-gate candidate `outputs/eval/realtime/probe_motion_pair_gainmin004_edges2_13video/iou0_area0_condarea0_merge0`: `ALL remapped_idsw 27 -> 21`, `remapped_hota_pct 95.89 -> 96.60`, `remapped_idf1_pct 96.41 -> 97.02`, `fp/fn unchanged 2320/1055`."
.agents/memory/01_PROJECT_MEMORY_SHORT.md,1344,38,realtime,HISTORICAL_DOCUMENTATION,"- Runtime smoke check: `outputs/eval/realtime/runtime_check_quality_delayed_simple_233_302/iou0_area0_condarea0_merge0` using actual `realtime_quality_delayed` code path produced `000233 remapped_idsw=9` and `000302 remapped_idsw=0`, matching the artifact expectation for target/guardrail."
.agents/memory/01_PROJECT_MEMORY_SHORT.md,1344,135,realtime_quality_delayed,HISTORICAL_DOCUMENTATION,"- Runtime smoke check: `outputs/eval/realtime/runtime_check_quality_delayed_simple_233_302/iou0_area0_condarea0_merge0` using actual `realtime_quality_delayed` code path produced `000233 remapped_idsw=9` and `000302 remapped_idsw=0`, matching the artifact expectation for target/guardrail."
