review_cohort,video,episode_id,mechanism,v1_outcome,start_frame,end_frame,frames_modified,identity_before,identity_after_v1,wrong_identity_frames_before,wrong_identity_frames_after_v1,harmful_persistence_frames,v2_candidate_decision,gate_evidence_stage_id,gate_evidence_portability,gate_uses_gt,proposal_change_episode_count,stage_input_hash,proposal_output_hash,v2_stage_output_hash,modified_span_v2
BENEFICIAL_V1,Pigs291119_000226_30fps,010e14378d0572f02dff685b1b07019bf00d93fc6c91b3ef70ecdc6ab2dbd2e8,OFFLINE_IDENTITY_SWAP_GUARD,BENEFICIAL,1636,1637,2,ID_8,ID_8,2,0,0,ACCEPTED_UNCHANGED_V1_POLICY,OFFLINE_IDENTITY_SWAP_GUARD,PREDECLARED_V1_TRANSFER_STAGE,False,2,8eecb0ea1612a6aa06d7104dd6d9561e60efe95a863beddde77555548e6e3853,fe6fb38dcde6d163ffe3047b5d7862f202dc925aad8ad324881ba11e76c61837,fe6fb38dcde6d163ffe3047b5d7862f202dc925aad8ad324881ba11e76c61837,1636:1637
BENEFICIAL_V1,Pigs291119_000226_30fps,02040d24d3a19b8ca5020c56a81ebcfe2c1852cfe0605dc6e849880d1873eca1,TEMPORAL_BBOX_REFINEMENT,BENEFICIAL,1638,1655,18,ID_8,ID_8,0,0,1,ACCEPTED_UNCHANGED_V1_POLICY,TEMPORAL_BBOX_REFINEMENT,PREDECLARED_V1_TRANSFER_STAGE,False,18,fe6fb38dcde6d163ffe3047b5d7862f202dc925aad8ad324881ba11e76c61837,774c3003b0e151be1d8a13aa89a3896d06388cfb1facb390730cdfdfc0fc5fbd,774c3003b0e151be1d8a13aa89a3896d06388cfb1facb390730cdfdfc0fc5fbd,1638:1655
HARMFUL_V1,Pigs291119_000263_30fps,0214ed4eaf727c0d71cc4624a6fead90187d954a0afe61c44b02097dc8ee0ae1,TEMPORAL_BBOX_REFINEMENT,HARMFUL,1182,1183,2,ID_6,ID_6,0,0,1,ACCEPTED_UNCHANGED_V1_POLICY,TEMPORAL_BBOX_REFINEMENT,PREDECLARED_V1_TRANSFER_STAGE,False,36,81e43f6e33450aad03f13b9d505700fef0ffa3f8882ee7697f78f1ede2a88fce,e47b11448895f97e311d41556d00e01c1eae65b2e01084d75ebb93e48e2f94fb,e47b11448895f97e311d41556d00e01c1eae65b2e01084d75ebb93e48e2f94fb,1182:1183
BENEFICIAL_V1,Pigs291119_000231_30fps,0378352952fb72a6504acd53108a3dd72b780dbb6474833642e79450f4b35086,OFFLINE_IDENTITY_SWAP_GUARD,BENEFICIAL,718,735,18,ID_5,ID_5,10,8,10,ACCEPTED_UNCHANGED_V1_POLICY,OFFLINE_IDENTITY_SWAP_GUARD,PREDECLARED_V1_TRANSFER_STAGE,False,6,d0fc3a181d541b5416883bf79e97e89488516cecd08f8d0b6d0bf5ced1df6bd2,d584f13676ef4d37fb0e21731ebb33982cd3cd8b341e40ad9f6838e778541ddb,d584f13676ef4d37fb0e21731ebb33982cd3cd8b341e40ad9f6838e778541ddb,718:735
BENEFICIAL_V1,Pigs291119_000302_30fps,04c3e2e0facb59741f66b2aef35d468ce8e05abb4d1abb187b88e9fd36a7b8b4,TEMPORAL_BBOX_REFINEMENT,BENEFICIAL,990,991,2,ID_8,ID_8,0,0,0,ACCEPTED_UNCHANGED_V1_POLICY,TEMPORAL_BBOX_REFINEMENT,PREDECLARED_V1_TRANSFER_STAGE,False,11,bae1898a2d3818fdc13819a4e26baa102cd98d43e105203b88b41d5a6c8c7c87,b925bf593f9aee1061f0882396caa9b7bf06fe23300769edfaa0bd05835b703c,b925bf593f9aee1061f0882396caa9b7bf06fe23300769edfaa0bd05835b703c,990:991
BENEFICIAL_V1,Pigs291119_000263_30fps,07f1c6dccbb52d864b033e4eff08da6deaa930fa76d69b9bf1111d6ea673707a,TEMPORAL_BBOX_REFINEMENT,BENEFICIAL,192,193,2,ID_4,ID_4,0,0,0,ACCEPTED_UNCHANGED_V1_POLICY,TEMPORAL_BBOX_REFINEMENT,PREDECLARED_V1_TRANSFER_STAGE,False,36,81e43f6e33450aad03f13b9d505700fef0ffa3f8882ee7697f78f1ede2a88fce,e47b11448895f97e311d41556d00e01c1eae65b2e01084d75ebb93e48e2f94fb,e47b11448895f97e311d41556d00e01c1eae65b2e01084d75ebb93e48e2f94fb,192:193
BENEFICIAL_V1,Pigs291119_000231_30fps,08217e444ff093d86248db3a4cae08b811a05e5a84d994854d29f460284929b5,TEMPORAL_BBOX_REFINEMENT,BENEFICIAL,368,369,2,ID_8,ID_8,0,0,0,ACCEPTED_UNCHANGED_V1_POLICY,TEMPORAL_BBOX_REFINEMENT,PREDECLARED_V1_TRANSFER_STAGE,False,99,d584f13676ef4d37fb0e21731ebb33982cd3cd8b341e40ad9f6838e778541ddb,9c9e031a9fe338c212cb870a120ba3dfa0701c4efe66eb932b74418a9d6c28f8,9c9e031a9fe338c212cb870a120ba3dfa0701c4efe66eb932b74418a9d6c28f8,368:369
BENEFICIAL_V1,Pigs291119_000231_30fps,08296a675c65bdf74aa4a56c97631da934b86ec3330f082c24f61596a48b1690,TEMPORAL_BBOX_REFINEMENT,BENEFICIAL,1358,1359,2,ID_7,ID_7,0,0,0,ACCEPTED_UNCHANGED_V1_POLICY,TEMPORAL_BBOX_REFINEMENT,PREDECLARED_V1_TRANSFER_STAGE,False,99,d584f13676ef4d37fb0e21731ebb33982cd3cd8b341e40ad9f6838e778541ddb,9c9e031a9fe338c212cb870a120ba3dfa0701c4efe66eb932b74418a9d6c28f8,9c9e031a9fe338c212cb870a120ba3dfa0701c4efe66eb932b74418a9d6c28f8,1358:1359
BENEFICIAL_V1,Pigs301119_000330_30fps,092295a2d139b080159b377bd4371e90a09191d0041b9b7a50b30f81d27c0cbd,TEMPORAL_BBOX_REFINEMENT,BENEFICIAL,434,435,2,ID_4,ID_4,0,0,0,ACCEPTED_UNCHANGED_V1_POLICY,TEMPORAL_BBOX_REFINEMENT,PREDECLARED_V1_TRANSFER_STAGE,False,7,3bcedac5858e9a5c72f6229665952a2eb4adc384bab9b3a99ef648e842aa92dd,8d10e7a63a658186fc8714cac94277db22fce37367ed7fe1d32e2bc5296ecc77,8d10e7a63a658186fc8714cac94277db22fce37367ed7fe1d32e2bc5296ecc77,434:435
BENEFICIAL_V1,Pigs291119_000216_30fps,09d06cf72546e74353580b649d3f6030a87adddde6fa6b54ac90c44fb2fb81e0,TEMPORAL_BBOX_REFINEMENT,BENEFICIAL,220,221,2,ID_3,ID_3,0,0,0,ACCEPTED_UNCHANGED_V1_POLICY,TEMPORAL_BBOX_REFINEMENT,PREDECLARED_V1_TRANSFER_STAGE,False,34,4e92ec1c1b878bfe9a11feff8d889f87e934a39252761a2a4a948595762d7c45,e24215b37b4d866e8b4f094cf8a827794f3723fc35b54c28f37a191f70dcd4fd,e24215b37b4d866e8b4f094cf8a827794f3723fc35b54c28f37a191f70dcd4fd,220:221
