method_id,component,parameter,effective_value,unit,selection_basis,source_path,source_sha256,source_commit,runtime_override,covered_by_profile_hash,covered_by_effective_config_hash,covered_by_prediction_authority,evidence_class,scientific_effect,scientific_rationale,rationale_status,frozen_status,unresolved_notes
B0_CURRENT_STANDARD_V2_20260728,Hidden_state,USE_AREA_OCCLUSION_FREEZE,false,boolean,PREDECLARED_DEVELOPMENT_SELECTION,src/pig_behavior/tracking/profiles/bytetrack_raw.py,fe62045b5e260e45cd735f8be70726d3cf8c3f7fc2ea1159f22b968728f522e0,95dd37982251a6b59779e0eed020e266b54fc88c,false,YES,547ae86e3be26671a9a148cb0e613ea1c602a0ff842a977ce9b7f1d217c10e41,YES_PROFILE_OVERRIDE_ONLY,BOUND_BY_EFFECTIVE_CONFIG,Hidden_state,Profile override frozen by a development authority before its authority run.,SUFFICIENT_WITH_DEVELOPMENT_SCOPE_LIMITATION,FROZEN_BY_PREDICTION_AUTHORITY,Current-main active value. The frozen prediction producer was ac9bda0f7432d56229ede36bbb8fa06167846313; inherited defaults were not preserved as a complete runtime dump.
B0_CURRENT_STANDARD_V2_20260728,Hidden_state,USE_CONDITIONAL_AREA_OCCLUSION_FREEZE,false,boolean,PREDECLARED_DEVELOPMENT_SELECTION,src/pig_behavior/tracking/profiles/bytetrack_raw.py,fe62045b5e260e45cd735f8be70726d3cf8c3f7fc2ea1159f22b968728f522e0,95dd37982251a6b59779e0eed020e266b54fc88c,false,YES,547ae86e3be26671a9a148cb0e613ea1c602a0ff842a977ce9b7f1d217c10e41,YES_PROFILE_OVERRIDE_ONLY,BOUND_BY_EFFECTIVE_CONFIG,Hidden_state,Profile override frozen by a development authority before its authority run.,SUFFICIENT_WITH_DEVELOPMENT_SCOPE_LIMITATION,FROZEN_BY_PREDICTION_AUTHORITY,Current-main active value. The frozen prediction producer was ac9bda0f7432d56229ede36bbb8fa06167846313; inherited defaults were not preserved as a complete runtime dump.
B0_CURRENT_STANDARD_V2_20260728,association,USE_IOU_FALLBACK,false,boolean,PREDECLARED_DEVELOPMENT_SELECTION,src/pig_behavior/tracking/profiles/bytetrack_raw.py,fe62045b5e260e45cd735f8be70726d3cf8c3f7fc2ea1159f22b968728f522e0,95dd37982251a6b59779e0eed020e266b54fc88c,false,YES,547ae86e3be26671a9a148cb0e613ea1c602a0ff842a977ce9b7f1d217c10e41,YES_PROFILE_OVERRIDE_ONLY,BOUND_BY_EFFECTIVE_CONFIG,association,Profile override frozen by a development authority before its authority run.,SUFFICIENT_WITH_DEVELOPMENT_SCOPE_LIMITATION,FROZEN_BY_PREDICTION_AUTHORITY,Current-main active value. The frozen prediction producer was ac9bda0f7432d56229ede36bbb8fa06167846313; inherited defaults were not preserved as a complete runtime dump.
B0_CURRENT_STANDARD_V2_20260728,bbox_geometry,USE_MERGED_BOX_SPLIT,false,boolean,PREDECLARED_DEVELOPMENT_SELECTION,src/pig_behavior/tracking/profiles/bytetrack_raw.py,fe62045b5e260e45cd735f8be70726d3cf8c3f7fc2ea1159f22b968728f522e0,95dd37982251a6b59779e0eed020e266b54fc88c,false,YES,547ae86e3be26671a9a148cb0e613ea1c602a0ff842a977ce9b7f1d217c10e41,YES_PROFILE_OVERRIDE_ONLY,BOUND_BY_EFFECTIVE_CONFIG,bbox_geometry,Profile override frozen by a development authority before its authority run.,SUFFICIENT_WITH_DEVELOPMENT_SCOPE_LIMITATION,FROZEN_BY_PREDICTION_AUTHORITY,Current-main active value. The frozen prediction producer was ac9bda0f7432d56229ede36bbb8fa06167846313; inherited defaults were not preserved as a complete runtime dump.
B0_CURRENT_STANDARD_V2_20260728,engineering_or_indirect,adaptive_conf_step,0.05,unitless,INHERITED_DEFAULT_WITH_PROVENANCE,src/pig_behavior/tracking/config.py,52c5f54ad44b6f76a8d143d168bdc942542d5fd263903cbf630f9c58ecf1cdd0,95dd37982251a6b59779e0eed020e266b54fc88c,,NO,547ae86e3be26671a9a148cb0e613ea1c602a0ff842a977ce9b7f1d217c10e41,PARTIAL_INHERITED_DEFAULTS_NOT_DUMPED,BOUND_BY_SOURCE_CODE,engineering_or_indirect,Inherited from the hashed TrackingConfig source; no separate sensitivity claim.,PARTIAL_NO_METHOD_SPECIFIC_SENSITIVITY,FROZEN_BY_PREDICTION_AUTHORITY,Current-main active value. The frozen prediction producer was ac9bda0f7432d56229ede36bbb8fa06167846313; inherited defaults were not preserved as a complete runtime dump.
B0_CURRENT_STANDARD_V2_20260728,detection,allowed_class_name,null,not applicable,INHERITED_DEFAULT_WITH_PROVENANCE,src/pig_behavior/tracking/config.py,52c5f54ad44b6f76a8d143d168bdc942542d5fd263903cbf630f9c58ecf1cdd0,95dd37982251a6b59779e0eed020e266b54fc88c,,NO,547ae86e3be26671a9a148cb0e613ea1c602a0ff842a977ce9b7f1d217c10e41,PARTIAL_INHERITED_DEFAULTS_NOT_DUMPED,BOUND_BY_SOURCE_CODE,detection,Inherited from the hashed TrackingConfig source; no separate sensitivity claim.,PARTIAL_NO_METHOD_SPECIFIC_SENSITIVITY,FROZEN_BY_PREDICTION_AUTHORITY,Current-main active value. The frozen prediction producer was ac9bda0f7432d56229ede36bbb8fa06167846313; inherited defaults were not preserved as a complete runtime dump.
B0_CURRENT_STANDARD_V2_20260728,identity_repair,ambiguity_owner_guard,false,boolean,INHERITED_DEFAULT_WITH_PROVENANCE,src/pig_behavior/tracking/config.py,52c5f54ad44b6f76a8d143d168bdc942542d5fd263903cbf630f9c58ecf1cdd0,95dd37982251a6b59779e0eed020e266b54fc88c,,NO,547ae86e3be26671a9a148cb0e613ea1c602a0ff842a977ce9b7f1d217c10e41,PARTIAL_INHERITED_DEFAULTS_NOT_DUMPED,BOUND_BY_SOURCE_CODE,identity_repair,Inherited from the hashed TrackingConfig source; no separate sensitivity claim.,PARTIAL_NO_METHOD_SPECIFIC_SENSITIVITY,FROZEN_BY_PREDICTION_AUTHORITY,Current-main active value. The frozen prediction producer was ac9bda0f7432d56229ede36bbb8fa06167846313; inherited defaults were not preserved as a complete runtime dump.
B0_CURRENT_STANDARD_V2_20260728,association,ambiguity_owner_guard_cost_margin,0.04,unitless,INHERITED_DEFAULT_WITH_PROVENANCE,src/pig_behavior/tracking/config.py,52c5f54ad44b6f76a8d143d168bdc942542d5fd263903cbf630f9c58ecf1cdd0,95dd37982251a6b59779e0eed020e266b54fc88c,,NO,547ae86e3be26671a9a148cb0e613ea1c602a0ff842a977ce9b7f1d217c10e41,PARTIAL_INHERITED_DEFAULTS_NOT_DUMPED,BOUND_BY_SOURCE_CODE,association|identity_repair,Inherited from the hashed TrackingConfig source; no separate sensitivity claim.,PARTIAL_NO_METHOD_SPECIFIC_SENSITIVITY,FROZEN_BY_PREDICTION_AUTHORITY,Current-main active value. The frozen prediction producer was ac9bda0f7432d56229ede36bbb8fa06167846313; inherited defaults were not preserved as a complete runtime dump.
B0_CURRENT_STANDARD_V2_20260728,engineering_or_indirect,annotations_json,null,not applicable,INHERITED_DEFAULT_WITH_PROVENANCE,src/pig_behavior/tracking/config.py,52c5f54ad44b6f76a8d143d168bdc942542d5fd263903cbf630f9c58ecf1cdd0,95dd37982251a6b59779e0eed020e266b54fc88c,,NO,547ae86e3be26671a9a148cb0e613ea1c602a0ff842a977ce9b7f1d217c10e41,PARTIAL_INHERITED_DEFAULTS_NOT_DUMPED,BOUND_BY_SOURCE_CODE,engineering_or_indirect,Inherited from the hashed TrackingConfig source; no separate sensitivity claim.,PARTIAL_NO_METHOD_SPECIFIC_SENSITIVITY,FROZEN_BY_PREDICTION_AUTHORITY,Current-main active value. The frozen prediction producer was ac9bda0f7432d56229ede36bbb8fa06167846313; inherited defaults were not preserved as a complete runtime dump.
B0_CURRENT_STANDARD_V2_20260728,association,appearance_hist_foreground_core,false,boolean,INHERITED_DEFAULT_WITH_PROVENANCE,src/pig_behavior/tracking/config.py,52c5f54ad44b6f76a8d143d168bdc942542d5fd263903cbf630f9c58ecf1cdd0,95dd37982251a6b59779e0eed020e266b54fc88c,,NO,547ae86e3be26671a9a148cb0e613ea1c602a0ff842a977ce9b7f1d217c10e41,PARTIAL_INHERITED_DEFAULTS_NOT_DUMPED,BOUND_BY_SOURCE_CODE,association,Inherited from the hashed TrackingConfig source; no separate sensitivity claim.,PARTIAL_NO_METHOD_SPECIFIC_SENSITIVITY,FROZEN_BY_PREDICTION_AUTHORITY,Current-main active value. The frozen prediction producer was ac9bda0f7432d56229ede36bbb8fa06167846313; inherited defaults were not preserved as a complete runtime dump.
