method_id,run_id,prediction_hash,evaluator_contract,population,include_hidden_policy,metric_name,value,aggregation,source_path,artifact_hash,reproducible_from_surviving_bytes,reuse_or_recompute,authority_status,evidence_class,limitations
B0_CURRENT_STANDARD_V2_20260728,B0_CURRENT_STANDARD_V2_20260728,13d9226c36141264cc33e4b498d38e5f3eaa9891cf32bc4c8fb87b01fd27d576,TRACKING_EVALUATOR_STANDARD_V2,13 videos x 1800 frames; development,true,ambiguous_identity_rows,0,ALL videos,docs/tracking/b0_b1_r0_standard_v2/B0_BYTETRACK_RAW_STANDARD_V2_AUTHORITY_20260728.json,8f000677a7e2dfecc35e2918a18d4fe528470199bc684962d6d9e707db02bfaa,YES,frozen Standard-V2 authority,ESTABLISHED,MEASURED_FROM_FROZEN_ARTIFACT,Development population only.
B0_CURRENT_STANDARD_V2_20260728,B0_CURRENT_STANDARD_V2_20260728,13d9226c36141264cc33e4b498d38e5f3eaa9891cf32bc4c8fb87b01fd27d576,TRACKING_EVALUATOR_STANDARD_V2,13 videos x 1800 frames; development,true,assa,0.8027308861489667,ALL videos,docs/tracking/b0_b1_r0_standard_v2/B0_BYTETRACK_RAW_STANDARD_V2_AUTHORITY_20260728.json,8f000677a7e2dfecc35e2918a18d4fe528470199bc684962d6d9e707db02bfaa,YES,frozen Standard-V2 authority,ESTABLISHED,MEASURED_FROM_FROZEN_ARTIFACT,Development population only.
B0_CURRENT_STANDARD_V2_20260728,B0_CURRENT_STANDARD_V2_20260728,13d9226c36141264cc33e4b498d38e5f3eaa9891cf32bc4c8fb87b01fd27d576,TRACKING_EVALUATOR_STANDARD_V2,13 videos x 1800 frames; development,true,authoritative_gt_trajectories,104,ALL videos,docs/tracking/b0_b1_r0_standard_v2/B0_BYTETRACK_RAW_STANDARD_V2_AUTHORITY_20260728.json,8f000677a7e2dfecc35e2918a18d4fe528470199bc684962d6d9e707db02bfaa,YES,frozen Standard-V2 authority,ESTABLISHED,MEASURED_FROM_FROZEN_ARTIFACT,Development population only.
B0_CURRENT_STANDARD_V2_20260728,B0_CURRENT_STANDARD_V2_20260728,13d9226c36141264cc33e4b498d38e5f3eaa9891cf32bc4c8fb87b01fd27d576,TRACKING_EVALUATOR_STANDARD_V2,13 videos x 1800 frames; development,true,authoritative_matched_gt_frames,186720,ALL videos,docs/tracking/b0_b1_r0_standard_v2/B0_BYTETRACK_RAW_STANDARD_V2_AUTHORITY_20260728.json,8f000677a7e2dfecc35e2918a18d4fe528470199bc684962d6d9e707db02bfaa,YES,frozen Standard-V2 authority,ESTABLISHED,MEASURED_FROM_FROZEN_ARTIFACT,Development population only.
B0_CURRENT_STANDARD_V2_20260728,B0_CURRENT_STANDARD_V2_20260728,13d9226c36141264cc33e4b498d38e5f3eaa9891cf32bc4c8fb87b01fd27d576,TRACKING_EVALUATOR_STANDARD_V2,13 videos x 1800 frames; development,true,censored_identity_error_episode_count,0,ALL videos,docs/tracking/b0_b1_r0_standard_v2/B0_BYTETRACK_RAW_STANDARD_V2_AUTHORITY_20260728.json,8f000677a7e2dfecc35e2918a18d4fe528470199bc684962d6d9e707db02bfaa,YES,frozen Standard-V2 authority,ESTABLISHED,MEASURED_FROM_FROZEN_ARTIFACT,Development population only.
B0_CURRENT_STANDARD_V2_20260728,B0_CURRENT_STANDARD_V2_20260728,13d9226c36141264cc33e4b498d38e5f3eaa9891cf32bc4c8fb87b01fd27d576,TRACKING_EVALUATOR_STANDARD_V2,13 videos x 1800 frames; development,true,deta,0.899665397523998,ALL videos,docs/tracking/b0_b1_r0_standard_v2/B0_BYTETRACK_RAW_STANDARD_V2_AUTHORITY_20260728.json,8f000677a7e2dfecc35e2918a18d4fe528470199bc684962d6d9e707db02bfaa,YES,frozen Standard-V2 authority,ESTABLISHED,MEASURED_FROM_FROZEN_ARTIFACT,Development population only.
B0_CURRENT_STANDARD_V2_20260728,B0_CURRENT_STANDARD_V2_20260728,13d9226c36141264cc33e4b498d38e5f3eaa9891cf32bc4c8fb87b01fd27d576,TRACKING_EVALUATOR_STANDARD_V2,13 videos x 1800 frames; development,true,detection_precision,0.9974358974358974,ALL videos,docs/tracking/b0_b1_r0_standard_v2/B0_BYTETRACK_RAW_STANDARD_V2_AUTHORITY_20260728.json,8f000677a7e2dfecc35e2918a18d4fe528470199bc684962d6d9e707db02bfaa,YES,frozen Standard-V2 authority,ESTABLISHED,MEASURED_FROM_FROZEN_ARTIFACT,Development population only.
B0_CURRENT_STANDARD_V2_20260728,B0_CURRENT_STANDARD_V2_20260728,13d9226c36141264cc33e4b498d38e5f3eaa9891cf32bc4c8fb87b01fd27d576,TRACKING_EVALUATOR_STANDARD_V2,13 videos x 1800 frames; development,true,detection_recall,0.9974358974358974,ALL videos,docs/tracking/b0_b1_r0_standard_v2/B0_BYTETRACK_RAW_STANDARD_V2_AUTHORITY_20260728.json,8f000677a7e2dfecc35e2918a18d4fe528470199bc684962d6d9e707db02bfaa,YES,frozen Standard-V2 authority,ESTABLISHED,MEASURED_FROM_FROZEN_ARTIFACT,Development population only.
B0_CURRENT_STANDARD_V2_20260728,B0_CURRENT_STANDARD_V2_20260728,13d9226c36141264cc33e4b498d38e5f3eaa9891cf32bc4c8fb87b01fd27d576,TRACKING_EVALUATOR_STANDARD_V2,13 videos x 1800 frames; development,true,evaluated_frames,23400,ALL videos,docs/tracking/b0_b1_r0_standard_v2/B0_BYTETRACK_RAW_STANDARD_V2_AUTHORITY_20260728.json,8f000677a7e2dfecc35e2918a18d4fe528470199bc684962d6d9e707db02bfaa,YES,frozen Standard-V2 authority,ESTABLISHED,MEASURED_FROM_FROZEN_ARTIFACT,Development population only.
B0_CURRENT_STANDARD_V2_20260728,B0_CURRENT_STANDARD_V2_20260728,13d9226c36141264cc33e4b498d38e5f3eaa9891cf32bc4c8fb87b01fd27d576,TRACKING_EVALUATOR_STANDARD_V2,13 videos x 1800 frames; development,true,evaluated_hidden_rows,4511,ALL videos,docs/tracking/b0_b1_r0_standard_v2/B0_BYTETRACK_RAW_STANDARD_V2_AUTHORITY_20260728.json,8f000677a7e2dfecc35e2918a18d4fe528470199bc684962d6d9e707db02bfaa,YES,frozen Standard-V2 authority,ESTABLISHED,MEASURED_FROM_FROZEN_ARTIFACT,Development population only.
