method_id,parameter,operation_controlled,unit,meaningful_range,effective_value,selection_basis,value_provenance,data_visible_at_selection,selected_before_or_after_metric_inspection,selection_scope,scientific_effects,sensitivity_study,frozen_status,scientific_rationale,rationale_status,evidence_class,support_class,per_video_parameter
B0_CURRENT_STANDARD_V2_20260728,USE_AREA_OCCLUSION_FREEZE,Hidden_state,boolean,"{false,true}",false,PREDECLARED_DEVELOPMENT_SELECTION,src/pig_behavior/tracking/profiles/bytetrack_raw.py sha256=fe62045b5e260e45cd735f8be70726d3cf8c3f7fc2ea1159f22b968728f522e0,13-video development evidence,frozen before authority execution; earlier development data visible,global profile; not per-video,Hidden_state,authority/ablation record may exist; not universal,YES,Profile override frozen by a development authority before its authority run.,SUFFICIENT_WITH_DEVELOPMENT_SCOPE_LIMITATION,BOUND_BY_EFFECTIVE_CONFIG,FULLY_GROUNDED,NO
B0_CURRENT_STANDARD_V2_20260728,USE_CONDITIONAL_AREA_OCCLUSION_FREEZE,Hidden_state,boolean,"{false,true}",false,PREDECLARED_DEVELOPMENT_SELECTION,src/pig_behavior/tracking/profiles/bytetrack_raw.py sha256=fe62045b5e260e45cd735f8be70726d3cf8c3f7fc2ea1159f22b968728f522e0,13-video development evidence,frozen before authority execution; earlier development data visible,global profile; not per-video,Hidden_state,authority/ablation record may exist; not universal,YES,Profile override frozen by a development authority before its authority run.,SUFFICIENT_WITH_DEVELOPMENT_SCOPE_LIMITATION,BOUND_BY_EFFECTIVE_CONFIG,FULLY_GROUNDED,NO
B0_CURRENT_STANDARD_V2_20260728,USE_IOU_FALLBACK,association,boolean,"{false,true}",false,PREDECLARED_DEVELOPMENT_SELECTION,src/pig_behavior/tracking/profiles/bytetrack_raw.py sha256=fe62045b5e260e45cd735f8be70726d3cf8c3f7fc2ea1159f22b968728f522e0,13-video development evidence,frozen before authority execution; earlier development data visible,global profile; not per-video,association,authority/ablation record may exist; not universal,YES,Profile override frozen by a development authority before its authority run.,SUFFICIENT_WITH_DEVELOPMENT_SCOPE_LIMITATION,BOUND_BY_EFFECTIVE_CONFIG,FULLY_GROUNDED,NO
B0_CURRENT_STANDARD_V2_20260728,USE_MERGED_BOX_SPLIT,bbox_geometry,boolean,"{false,true}",false,PREDECLARED_DEVELOPMENT_SELECTION,src/pig_behavior/tracking/profiles/bytetrack_raw.py sha256=fe62045b5e260e45cd735f8be70726d3cf8c3f7fc2ea1159f22b968728f522e0,13-video development evidence,frozen before authority execution; earlier development data visible,global profile; not per-video,bbox_geometry,authority/ablation record may exist; not universal,YES,Profile override frozen by a development authority before its authority run.,SUFFICIENT_WITH_DEVELOPMENT_SCOPE_LIMITATION,BOUND_BY_EFFECTIVE_CONFIG,FULLY_GROUNDED,NO
B0_CURRENT_STANDARD_V2_20260728,adaptive_conf_step,engineering_or_indirect,unitless,source-defined numeric domain,0.05,INHERITED_DEFAULT_WITH_PROVENANCE,src/pig_behavior/tracking/config.py sha256=52c5f54ad44b6f76a8d143d168bdc942542d5fd263903cbf630f9c58ecf1cdd0,not a separate empirical selection,not separately selected,global profile; not per-video,engineering_or_indirect,not established,YES,Inherited from the hashed TrackingConfig source; no separate sensitivity claim.,PARTIAL_NO_METHOD_SPECIFIC_SENSITIVITY,BOUND_BY_SOURCE_CODE,PARTIALLY_GROUNDED,NO
B0_CURRENT_STANDARD_V2_20260728,allowed_class_name,detection,not applicable,None or source-defined value,null,INHERITED_DEFAULT_WITH_PROVENANCE,src/pig_behavior/tracking/config.py sha256=52c5f54ad44b6f76a8d143d168bdc942542d5fd263903cbf630f9c58ecf1cdd0,not a separate empirical selection,not separately selected,global profile; not per-video,detection,not established,YES,Inherited from the hashed TrackingConfig source; no separate sensitivity claim.,PARTIAL_NO_METHOD_SPECIFIC_SENSITIVITY,BOUND_BY_SOURCE_CODE,PARTIALLY_GROUNDED,NO
B0_CURRENT_STANDARD_V2_20260728,ambiguity_owner_guard,identity_repair,boolean,"{false,true}",false,INHERITED_DEFAULT_WITH_PROVENANCE,src/pig_behavior/tracking/config.py sha256=52c5f54ad44b6f76a8d143d168bdc942542d5fd263903cbf630f9c58ecf1cdd0,not a separate empirical selection,not separately selected,global profile; not per-video,identity_repair,not established,YES,Inherited from the hashed TrackingConfig source; no separate sensitivity claim.,PARTIAL_NO_METHOD_SPECIFIC_SENSITIVITY,BOUND_BY_SOURCE_CODE,PARTIALLY_GROUNDED,NO
B0_CURRENT_STANDARD_V2_20260728,ambiguity_owner_guard_cost_margin,association|identity_repair,unitless,source-defined numeric domain,0.04,INHERITED_DEFAULT_WITH_PROVENANCE,src/pig_behavior/tracking/config.py sha256=52c5f54ad44b6f76a8d143d168bdc942542d5fd263903cbf630f9c58ecf1cdd0,not a separate empirical selection,not separately selected,global profile; not per-video,association|identity_repair,not established,YES,Inherited from the hashed TrackingConfig source; no separate sensitivity claim.,PARTIAL_NO_METHOD_SPECIFIC_SENSITIVITY,BOUND_BY_SOURCE_CODE,PARTIALLY_GROUNDED,NO
B0_CURRENT_STANDARD_V2_20260728,annotations_json,engineering_or_indirect,not applicable,None or source-defined value,null,INHERITED_DEFAULT_WITH_PROVENANCE,src/pig_behavior/tracking/config.py sha256=52c5f54ad44b6f76a8d143d168bdc942542d5fd263903cbf630f9c58ecf1cdd0,not a separate empirical selection,not separately selected,global profile; not per-video,engineering_or_indirect,not established,YES,Inherited from the hashed TrackingConfig source; no separate sensitivity claim.,PARTIAL_NO_METHOD_SPECIFIC_SENSITIVITY,BOUND_BY_SOURCE_CODE,PARTIALLY_GROUNDED,NO
B0_CURRENT_STANDARD_V2_20260728,appearance_hist_foreground_core,association,boolean,"{false,true}",false,INHERITED_DEFAULT_WITH_PROVENANCE,src/pig_behavior/tracking/config.py sha256=52c5f54ad44b6f76a8d143d168bdc942542d5fd263903cbf630f9c58ecf1cdd0,not a separate empirical selection,not separately selected,global profile; not per-video,association,not established,YES,Inherited from the hashed TrackingConfig source; no separate sensitivity claim.,PARTIAL_NO_METHOD_SPECIFIC_SENSITIVITY,BOUND_BY_SOURCE_CODE,PARTIALLY_GROUNDED,NO
B0_CURRENT_STANDARD_V2_20260728,area_occlusion_freeze_frames,Hidden_state|runtime,frames,non-negative integer unless sentinel documented,15,INHERITED_DEFAULT_WITH_PROVENANCE,src/pig_behavior/tracking/config.py sha256=52c5f54ad44b6f76a8d143d168bdc942542d5fd263903cbf630f9c58ecf1cdd0,not a separate empirical selection,not separately selected,global profile; not per-video,Hidden_state|runtime,not established,YES,Inherited from the hashed TrackingConfig source; no separate sensitivity claim.,PARTIAL_NO_METHOD_SPECIFIC_SENSITIVITY,BOUND_BY_SOURCE_CODE,PARTIALLY_GROUNDED,NO
B0_CURRENT_STANDARD_V2_20260728,area_occlusion_shrink_ratio,Hidden_state,unitless,source-defined numeric domain,0.6,INHERITED_DEFAULT_WITH_PROVENANCE,src/pig_behavior/tracking/config.py sha256=52c5f54ad44b6f76a8d143d168bdc942542d5fd263903cbf630f9c58ecf1cdd0,not a separate empirical selection,not separately selected,global profile; not per-video,Hidden_state,not established,YES,Inherited from the hashed TrackingConfig source; no separate sensitivity claim.,PARTIAL_NO_METHOD_SPECIFIC_SENSITIVITY,BOUND_BY_SOURCE_CODE,PARTIALLY_GROUNDED,NO
