lineage,candidate_role,absolute_path,xml_file_count,total_size_bytes,minimum_mtime_utc,maximum_mtime_utc,xml_set_inventory_sha256,manifest_membership,originating_run_id,source_sha,command_authority,method_aliases,evaluator_authority,evidence_class
B0,HISTORICAL_PRIMARY,C:\Users\ironh\Downloads\PIG_task_tracking\outputs\pred\tracking_raw_authority\20260719_7e38234_primary_v1,13,49647782,2026-07-19T11:44:22.312022+00:00,2026-07-19T12:03:02.182660+00:00,ac579e4671ded453bda03da3a560ebc7b692f803a11fb14f3d792008a8fa83ba,outputs/eval/tracking_raw_authority/20260719_7e38234_primary_v1/iou0_area0_condarea0_merge0/artifact_manifest.json,20260719_7e38234_primary_v1,e7fc039a674437b4c25f7a75c5adbc341fc15fa1,outputs/eval/tracking_raw_authority/20260719_7e38234_primary_v1/iou0_area0_condarea0_merge0/run_manifest.json,bytetrack_raw|historical raw ByteTrack,TRACKING_EVALUATOR_LEGACY_V1,MEASURED_FROM_FROZEN_ARTIFACT
B0,HISTORICAL_REPEAT,C:\Users\ironh\Downloads\PIG_task_tracking\outputs\pred\tracking_raw_authority\20260719_7e38234_repeat_v1,13,49647782,2026-07-19T12:07:05.089920+00:00,2026-07-19T12:22:28.816260+00:00,a893edfa832a689f3e22139cc4ba6d5da579aef042066152c2b967ddedddf044,outputs/eval/tracking_raw_authority/20260719_7e38234_raw_repeatability_v1.json,20260719_7e38234_repeat_v1,e7fc039a674437b4c25f7a75c5adbc341fc15fa1,outputs/eval/tracking_raw_authority/20260719_7e38234_repeat_v1/iou0_area0_condarea0_merge0/run_manifest.json,bytetrack_raw|historical raw ByteTrack repeat,TRACKING_EVALUATOR_LEGACY_V1,MEASURED_FROM_FROZEN_ARTIFACT
B0,CAMPAIGN_FROZEN_COPY,C:\Users\ironh\Downloads\PIG_Behavior_Project\outputs\tracking\three_mode_historical_reconstruction_20260729\frozen_predictions\B0_historical,13,49647782,2026-07-19T11:44:22.312022+00:00,2026-07-19T12:03:02.182660+00:00,62ebc53b0a255dee1f478f94b45a1e12534aae37b29eb15b9251f64d012bf18b,standard_v2/pass_1/PREDICTION_FREEZE_MANIFEST.json,20260719_7e38234_primary_v1,e7fc039a674437b4c25f7a75c5adbc341fc15fa1,COPY_ONLY_SHA_VERIFIED,B0_historical,TRACKING_EVALUATOR_STANDARD_V2,MEASURED_FROM_FROZEN_ARTIFACT
B0,CURRENT_AUTHORITY,C:\Users\ironh\Downloads\PIG_Behavior_Project\outputs\tracking\frozen_predictions_standard_v2_20260728_retry1\B0_bytetrack_raw\predictions,13,49646775,2026-07-28T06:50:44.757539+00:00,2026-07-28T07:01:23.077058+00:00,261078ddec672be3d6fb63c49b9e3053eab8d8fd13862c3fc4ac4a6a3b306551,docs/tracking/b0_b1_prediction_authority/B0_BYTETRACK_RAW_PREDICTION_AUTHORITY_20260728.json,B0_CURRENT_STANDARD_V2_20260728,ac9bda0f7432d56229ede36bbb8fa06167846313,docs/tracking/b0_b1_prediction_authority/B0_B1_LOCKED_EXECUTION_MANIFEST_20260728.json,B0|bytetrack_raw,TRACKING_EVALUATOR_STANDARD_V2,MEASURED_FROM_FROZEN_ARTIFACT
R0,HISTORICAL_PRIMARY,C:\Users\ironh\Downloads\PIG_task_tracking\outputs\pred\tracking_realtime_fast_accuracy\20260723_rf_acc23_full13_primary_v1,13,49647070,2026-07-22T21:05:40.003169+00:00,2026-07-22T21:17:09.277331+00:00,5f4cead1341b7add359aa1861adf075e3685f3b4e0eebe37cc75d14dff3d6bd6,outputs/eval/tracking_realtime_fast_accuracy/20260723_rf_acc23_full13_primary_v1/iou0_area0_condarea0_merge0/artifact_manifest.json,20260723_rf_acc23_full13_primary_v1,f1b5dc7d9f5c098420e9b33361994ab5018b6bcd,outputs/eval/tracking_realtime_fast_accuracy/20260723_rf_acc23_full13_primary_v1/iou0_area0_condarea0_merge0/run_manifest.json,RF_ACC23|realtime_fast,TRACKING_EVALUATOR_LEGACY_V1,MEASURED_FROM_FROZEN_ARTIFACT
R0,HISTORICAL_REPEAT_1,C:\Users\ironh\Downloads\PIG_task_tracking\outputs\pred\tracking_realtime_fast_accuracy\20260723_rf_acc23_full13_repeat_v1,13,49647070,2026-07-22T21:25:13.772235+00:00,2026-07-22T21:42:19.496508+00:00,43f068e1a3c3ab1d3b5cf7b0f5c0678d4186a28b6e75f73def0338ecb2260023,outputs/eval/tracking_realtime_fast_accuracy/20260723_rf_acc23_full13_repeat_v1,20260723_rf_acc23_full13_repeat_v1,f1b5dc7d9f5c098420e9b33361994ab5018b6bcd,historical repeat run manifest,RF_ACC23|realtime_fast repeat,TRACKING_EVALUATOR_LEGACY_V1,MEASURED_FROM_FROZEN_ARTIFACT
R0,HISTORICAL_REPEAT_2,C:\Users\ironh\Downloads\PIG_task_tracking\outputs\pred\tracking_realtime_fast_accuracy\20260723_rf_acc23_full13_repeat_v2,13,49647070,2026-07-23T01:21:34.313410+00:00,2026-07-23T01:33:42.290389+00:00,96383e300c9c62265898c4b607acddc1f17dc401d04d5a92ad8a27ee4e585bdb,outputs/eval/tracking_realtime_fast_accuracy/20260723_rf_acc23_full13_repeat_v2,20260723_rf_acc23_full13_repeat_v2,f1b5dc7d9f5c098420e9b33361994ab5018b6bcd,historical repeat run manifest,RF_ACC23|realtime_fast repeat,TRACKING_EVALUATOR_LEGACY_V1,MEASURED_FROM_FROZEN_ARTIFACT
R0,HISTORICAL_INSTRUMENTED,C:\Users\ironh\Downloads\PIG_task_tracking\outputs\pred\tracking_realtime_fast_accuracy\20260723_rf_acc23_full13_instrumented_v1,13,49647070,2026-07-23T02:04:44.279839+00:00,2026-07-23T02:18:53.812315+00:00,e962637dfeba310954d82a71e0d5fa5a0cc64eab7d7cf49885a15a5df0077c51,docs/TRACKING_RF_ACC23_ARTIFACT_RECOVERY_20260727.md,20260723_rf_acc23_full13_instrumented_v1,b0d9009,instrumented historical run,RF_ACC23|instrumented,TRACKING_EVALUATOR_LEGACY_V1,MEASURED_FROM_FROZEN_ARTIFACT
R0,CAMPAIGN_FROZEN_COPY,C:\Users\ironh\Downloads\PIG_Behavior_Project\outputs\tracking\three_mode_historical_reconstruction_20260729\frozen_predictions\R0_historical_RF_ACC23,13,49647070,2026-07-22T21:05:40.003169+00:00,2026-07-22T21:17:09.277331+00:00,be98983c2d1c5290af9a166c8da7fff960bfa6a75c15ad4d95a0ef3ee774b7d2,standard_v2/pass_1/PREDICTION_FREEZE_MANIFEST.json,20260723_rf_acc23_full13_primary_v1,f1b5dc7d9f5c098420e9b33361994ab5018b6bcd,COPY_ONLY_SHA_VERIFIED,R0_historical_RF_ACC23,TRACKING_EVALUATOR_STANDARD_V2,MEASURED_FROM_FROZEN_ARTIFACT
R0,CURRENT_AUTHORITY,C:\Users\ironh\Downloads\PIG_Behavior_Project\outputs\tracking\current_main_baseline_20260728\predictions,13,49647070,2026-07-27T22:09:16.038324+00:00,2026-07-27T22:17:39.637760+00:00,7c2a3a8ea606850dfc28770481e52405b69f693ad8b16dd03e48d302dc10cc7e,outputs/tracking/current_main_baseline_20260728/ARTIFACT_SHA256.json,CURRENT_MAIN_R0_BASELINE_20260728,cf0404a83d8c6c36cd1dcd440a22c5de044bf21c,outputs/tracking/current_main_baseline_20260728/CURRENT_MAIN_BASELINE_COMMANDS.txt,R0|realtime_fast,TRACKING_EVALUATOR_STANDARD_V2,MEASURED_FROM_FROZEN_ARTIFACT
