case_id,row_index,temporal_unit_key,object_track_key,frame_index,timestamp_sec,cx_n,cy_n,bw_n,bh_n,bbox_valid,valid_motion_pair,velocity_valid,bbox_rate_valid,velocity_sample_time_sec,vx_n_per_second,vy_n_per_second,bw_rate_n_per_second,bh_rate_n_per_second,area_rate_n_per_second,aspect_ratio_rate_per_second,speed_n_per_second,direction_valid,direction_change_valid,direction_change_rad,acceleration_delta_t_sec,tangential_acceleration_valid,tangential_acceleration_n_per_second2,vector_acceleration_valid,ax_n_per_second2,ay_n_per_second2,acceleration_vector_magnitude_n_per_second2
stationary,0,unit-stationary,actor-a,0,0,0.0,0.0,0.2,0.1,True,False,False,False,,,,,,,,,False,False,,,False,,False,,,
stationary,1,unit-stationary,actor-a,1,1,0.0,0.0,0.2,0.1,True,True,True,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,,False,,False,,,
stationary,2,unit-stationary,actor-a,2,2,0.0,0.0,0.2,0.1,True,True,True,True,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,1.0,True,0.0,True,0.0,0.0,0.0
horizontal,0,unit-horizontal,actor-a,0,0,0.0,0.0,0.2,0.1,True,False,False,False,,,,,,,,,False,False,,,False,,False,,,
horizontal,1,unit-horizontal,actor-a,1,1,1.0,0.0,0.2,0.1,True,True,True,True,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,True,False,,,False,,False,,,
horizontal,2,unit-horizontal,actor-a,2,2,2.0,0.0,0.2,0.1,True,True,True,True,1.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,True,True,0.0,1.0,True,0.0,True,0.0,0.0,0.0
diagonal,0,unit-diagonal,actor-a,0,0,0.0,0.0,0.2,0.1,True,False,False,False,,,,,,,,,False,False,,,False,,False,,,
diagonal,1,unit-diagonal,actor-a,1,1,3.0,4.0,0.2,0.1,True,True,True,True,0.5,3.0,4.0,0.0,0.0,0.0,0.0,5.0,True,False,,,False,,False,,,
irregular,0,unit-irregular,actor-a,0,0,0.0,0.0,0.2,0.1,True,False,False,False,,,,,,,,,False,False,,,False,,False,,,
irregular,1,unit-irregular,actor-a,1,1,2.0,0.0,0.2,0.1,True,True,True,True,0.5,2.0,0.0,0.0,0.0,0.0,0.0,2.0,True,False,,,False,,False,,,
irregular,2,unit-irregular,actor-a,2,3,6.0,0.0,0.2,0.1,True,True,True,True,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,True,True,0.0,1.5,True,0.0,True,0.0,0.0,0.0
width_only,0,unit-width_only,actor-a,0,0,0.0,0.0,0.2,0.1,True,False,False,False,,,,,,,,,False,False,,,False,,False,,,
width_only,1,unit-width_only,actor-a,1,2,0.0,0.0,0.4,0.1,True,True,True,True,1.0,0.0,0.0,0.1,0.0,0.010000000000000002,1.0,0.0,False,False,,,False,,False,,,
height_only,0,unit-height_only,actor-a,0,0,0.0,0.0,0.2,0.1,True,False,False,False,,,,,,,,,False,False,,,False,,False,,,
height_only,1,unit-height_only,actor-a,1,2,0.0,0.0,0.2,0.2,True,True,True,True,1.0,0.0,0.0,0.0,0.05,0.010000000000000002,-0.5,0.0,False,False,,,False,,False,,,
area_change,0,unit-area_change,actor-a,0,0,0.0,0.0,0.2,0.1,True,False,False,False,,,,,,,,,False,False,,,False,,False,,,
area_change,1,unit-area_change,actor-a,1,2,0.0,0.0,0.4,0.1,True,True,True,True,1.0,0.0,0.0,0.1,0.0,0.010000000000000002,1.0,0.0,False,False,,,False,,False,,,
aspect_change,0,unit-aspect_change,actor-a,0,0,0.0,0.0,0.2,0.1,True,False,False,False,,,,,,,,,False,False,,,False,,False,,,
aspect_change,1,unit-aspect_change,actor-a,1,2,0.0,0.0,0.4,0.1,True,True,True,True,1.0,0.0,0.0,0.1,0.0,0.010000000000000002,1.0,0.0,False,False,,,False,,False,,,
invalid_pair,0,unit-invalid_pair,actor-a,0,0,0.0,0.0,0.2,0.1,True,False,False,False,,,,,,,,,False,False,,,False,,False,,,
invalid_pair,1,unit-invalid_pair,actor-a,1,1,1.0,0.0,0.2,0.1,False,False,False,False,,,,,,,,,False,False,,,False,,False,,,
first_valid_velocity,0,unit-first_valid_velocity,actor-a,0,0,0.0,0.0,0.2,0.1,True,False,False,False,,,,,,,,,False,False,,,False,,False,,,
first_valid_velocity,1,unit-first_valid_velocity,actor-a,1,1,1.0,0.0,0.2,0.1,True,True,True,True,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,True,False,,,False,,False,,,
constant_velocity,0,unit-constant_velocity,actor-a,0,0,0.0,0.0,0.2,0.1,True,False,False,False,,,,,,,,,False,False,,,False,,False,,,
constant_velocity,1,unit-constant_velocity,actor-a,1,1,1.0,0.0,0.2,0.1,True,True,True,True,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,True,False,,,False,,False,,,
constant_velocity,2,unit-constant_velocity,actor-a,2,2,2.0,0.0,0.2,0.1,True,True,True,True,1.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,True,True,0.0,1.0,True,0.0,True,0.0,0.0,0.0
speed_increase,0,unit-speed_increase,actor-a,0,0,0.0,0.0,0.2,0.1,True,False,False,False,,,,,,,,,False,False,,,False,,False,,,
speed_increase,1,unit-speed_increase,actor-a,1,1,1.0,0.0,0.2,0.1,True,True,True,True,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,True,False,,,False,,False,,,
speed_increase,2,unit-speed_increase,actor-a,2,2,3.0,0.0,0.2,0.1,True,True,True,True,1.5,2.0,0.0,0.0,0.0,0.0,0.0,2.0,True,True,0.0,1.0,True,1.0,True,1.0,0.0,1.0
