case_id,temporal_unit_key,observed_frame_count,possible_pair_count,valid_pair_count,valid_pair_ratio,velocity_possible_count,velocity_valid_count,velocity_coverage,direction_change_possible_count,direction_change_valid_count,direction_change_coverage,acceleration_possible_count,acceleration_valid_count,acceleration_coverage,speed_n_per_second_mean_unit,tangential_acceleration_mean_unit,vector_acceleration_magnitude_mean_unit,motion_feature_available
stationary,unit-stationary,3,2,2,1.0,2,2,1.0,1,0,0.0,1,1,1.0,0.0,0.0,0.0,True
horizontal,unit-horizontal,3,2,2,1.0,2,2,1.0,1,1,1.0,1,1,1.0,1.0,0.0,0.0,True
diagonal,unit-diagonal,2,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,5.0,0.0,0.0,True
irregular,unit-irregular,3,2,2,1.0,2,2,1.0,1,1,1.0,1,1,1.0,2.0,0.0,0.0,True
width_only,unit-width_only,2,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,True
height_only,unit-height_only,2,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,True
area_change,unit-area_change,2,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,True
aspect_change,unit-aspect_change,2,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,True
invalid_pair,unit-invalid_pair,2,1,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False
first_valid_velocity,unit-first_valid_velocity,2,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,1.0,0.0,0.0,True
constant_velocity,unit-constant_velocity,3,2,2,1.0,2,2,1.0,1,1,1.0,1,1,1.0,1.0,0.0,0.0,True
speed_increase,unit-speed_increase,3,2,2,1.0,2,2,1.0,1,1,1.0,1,1,1.0,1.5,1.0,1.0,True
speed_decrease,unit-speed_decrease,3,2,2,1.0,2,2,1.0,1,1,1.0,1,1,1.0,1.5,-1.0,1.0,True
direction_change,unit-direction_change,3,2,2,1.0,2,2,1.0,1,1,1.0,1,1,1.0,1.0,0.0,1.4142135623730951,True
angle_wrap,unit-angle_wrap,3,2,2,1.0,2,2,1.0,1,1,1.0,1,1,1.0,1.0,0.0,0.03490481287456688,True
zero_speed_direction,unit-zero_speed_direction,2,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,True
invalid_middle_velocity,unit-invalid_middle_velocity,4,3,1,0.3333333333333333,3,1,0.3333333333333333,2,0,0.0,2,0,0.0,1.0,0.0,0.0,True
cross_unit,unit-a,2,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,1.0,0.0,0.0,True
cross_unit,unit-b,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False
actor_discontinuity,unit-actor_discontinuity,2,1,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False
all_velocity_invalid,unit-all_velocity_invalid,3,2,0,0.0,2,0,0.0,1,0,0.0,1,0,0.0,0.0,0.0,0.0,False
one_velocity_no_acceleration,unit-one_velocity_no_acceleration,2,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,1.0,0.0,0.0,True
one_acceleration,unit-one_acceleration,3,2,2,1.0,2,2,1.0,1,1,1.0,1,1,1.0,1.0,0.0,0.0,True
