index,feature_name,dtype,units,validity_mask,schema_version,schema_hash
1,vx_n_per_second,float32,normalized_x/s,velocity_valid,classification_v2.motion_tensor.v2,ec0c511b5f5198240492be49c0492e543c9e38eb4a4ff446259b958c2a59963b
2,vy_n_per_second,float32,normalized_y/s,velocity_valid,classification_v2.motion_tensor.v2,ec0c511b5f5198240492be49c0492e543c9e38eb4a4ff446259b958c2a59963b
3,bw_rate_n_per_second,float32,normalized_width/s,bbox_rate_valid,classification_v2.motion_tensor.v2,ec0c511b5f5198240492be49c0492e543c9e38eb4a4ff446259b958c2a59963b
4,bh_rate_n_per_second,float32,normalized_height/s,bbox_rate_valid,classification_v2.motion_tensor.v2,ec0c511b5f5198240492be49c0492e543c9e38eb4a4ff446259b958c2a59963b
5,area_rate_n_per_second,float32,normalized_area/s,bbox_rate_valid,classification_v2.motion_tensor.v2,ec0c511b5f5198240492be49c0492e543c9e38eb4a4ff446259b958c2a59963b
6,aspect_ratio_rate_per_second,float32,aspect_ratio/s,bbox_rate_valid,classification_v2.motion_tensor.v2,ec0c511b5f5198240492be49c0492e543c9e38eb4a4ff446259b958c2a59963b
7,speed_n_per_second,float32,axis_normalized_image_distance/s,velocity_valid,classification_v2.motion_tensor.v2,ec0c511b5f5198240492be49c0492e543c9e38eb4a4ff446259b958c2a59963b
8,direction_change_rad,float32,rad,direction_change_valid,classification_v2.motion_tensor.v2,ec0c511b5f5198240492be49c0492e543c9e38eb4a4ff446259b958c2a59963b
9,tangential_acceleration_n_per_second2,float32,axis_normalized_image_distance/s^2,tangential_acceleration_valid,classification_v2.motion_tensor.v2,ec0c511b5f5198240492be49c0492e543c9e38eb4a4ff446259b958c2a59963b
10,ax_n_per_second2,float32,normalized_x/s^2,vector_acceleration_valid,classification_v2.motion_tensor.v2,ec0c511b5f5198240492be49c0492e543c9e38eb4a4ff446259b958c2a59963b
11,ay_n_per_second2,float32,normalized_y/s^2,vector_acceleration_valid,classification_v2.motion_tensor.v2,ec0c511b5f5198240492be49c0492e543c9e38eb4a4ff446259b958c2a59963b
12,acceleration_vector_magnitude_n_per_second2,float32,axis_normalized_image_acceleration/s^2,vector_acceleration_valid,classification_v2.motion_tensor.v2,ec0c511b5f5198240492be49c0492e543c9e38eb4a4ff446259b958c2a59963b
