temporal_unit_key,source_type,behavior,observed_frame_count,target_roi_available_frame_count,target_roi_contact_frame_count,target_roi_availability_ratio_unit,target_roi_contact_ratio_unit,target_roi_unit_available,roi_aggregation_version
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8|anchor=0,cvat_tracking_xml,sitting,6,0,0,0.0,0.0,False,classification_v2.roi_aggregation.available_frames.v1
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8|anchor=1002,cvat_tracking_xml,sitting,6,0,0,0.0,0.0,False,classification_v2.roi_aggregation.available_frames.v1
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8|anchor=1008,cvat_tracking_xml,sitting,6,0,0,0.0,0.0,False,classification_v2.roi_aggregation.available_frames.v1
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8|anchor=1014,cvat_tracking_xml,sitting,6,0,0,0.0,0.0,False,classification_v2.roi_aggregation.available_frames.v1
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8|anchor=102,cvat_tracking_xml,sitting,6,0,0,0.0,0.0,False,classification_v2.roi_aggregation.available_frames.v1
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8|anchor=1020,cvat_tracking_xml,sitting,6,0,0,0.0,0.0,False,classification_v2.roi_aggregation.available_frames.v1
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8|anchor=1026,cvat_tracking_xml,sitting,6,0,0,0.0,0.0,False,classification_v2.roi_aggregation.available_frames.v1
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=0|pig=ID_8|anchor=1032,cvat_tracking_xml,sitting,6,0,0,0.0,0.0,False,classification_v2.roi_aggregation.available_frames.v1
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=2|pig=ID_6|anchor=0,cvat_tracking_xml,eat,6,1,1,0.16666666666666666,1.0,True,classification_v2.roi_aggregation.available_frames.v1
cvat_tracking_xml|cvat_tracking_Pigs281119_000085_30fps|Pigs281119_000085_30fps|track=5|pig=ID_3|anchor=1584,cvat_tracking_xml,drink,6,6,6,1.0,1.0,True,classification_v2.roi_aggregation.available_frames.v1
legacy_recovered|legacy_recovered_16f|pigs031219/000064|track=tracklet_00001032|pig=ID_1|legacy_sequence,legacy_recovered,eat,16,16,16,1.0,1.0,True,classification_v2.roi_aggregation.available_frames.v1
legacy_recovered|legacy_recovered_16f|pigs031219/000064|track=tracklet_00001033|pig=ID_2|legacy_sequence,legacy_recovered,social-nose,16,0,0,0.0,0.0,False,classification_v2.roi_aggregation.available_frames.v1
legacy_recovered|legacy_recovered_16f|pigs031219/000064|track=tracklet_00001034|pig=ID_3|legacy_sequence,legacy_recovered,eat,16,16,16,1.0,1.0,True,classification_v2.roi_aggregation.available_frames.v1
legacy_recovered|legacy_recovered_16f|pigs031219/000064|track=tracklet_00001035|pig=ID_4|legacy_sequence,legacy_recovered,explore,16,0,0,0.0,0.0,False,classification_v2.roi_aggregation.available_frames.v1
legacy_recovered|legacy_recovered_16f|pigs031219/000064|track=tracklet_00001036|pig=ID_5|legacy_sequence,legacy_recovered,sitting,16,0,0,0.0,0.0,False,classification_v2.roi_aggregation.available_frames.v1
legacy_recovered|legacy_recovered_16f|pigs031219/000064|track=tracklet_00001037|pig=ID_6|legacy_sequence,legacy_recovered,lying,16,0,0,0.0,0.0,False,classification_v2.roi_aggregation.available_frames.v1
legacy_recovered|legacy_recovered_16f|pigs031219/000064|track=tracklet_00001038|pig=ID_7|legacy_sequence,legacy_recovered,lying,16,0,0,0.0,0.0,False,classification_v2.roi_aggregation.available_frames.v1
legacy_recovered|legacy_recovered_16f|pigs031219/000064|track=tracklet_00001039|pig=ID_8|legacy_sequence,legacy_recovered,lying,16,0,0,0.0,0.0,False,classification_v2.roi_aggregation.available_frames.v1
legacy_recovered|legacy_recovered_16f|pigs031219/000065|track=tracklet_00003769|pig=ID_1|legacy_sequence,legacy_recovered,explore,16,0,0,0.0,0.0,False,classification_v2.roi_aggregation.available_frames.v1
legacy_recovered|legacy_recovered_16f|pigs031219/000065|track=tracklet_00003770|pig=ID_2|legacy_sequence,legacy_recovered,explore,16,0,0,0.0,0.0,False,classification_v2.roi_aggregation.available_frames.v1
