path,delta_direction,original_classification,current_classification,explanation
C:/Users/ironh/Downloads/PIG_Behavior_Project/outputs/classification_v2/agent_audits/runbook_review_20260716_v1/pytest_tmp/test_apply_loader_removes_mani0/decisions.csv,ORIGINAL_ONLY_EXCLUDED,NON_OFFICIAL_AUDIT,,nested pytest temporary output excluded by fixed Classification V2 inventory scope
C:/Users/ironh/Downloads/PIG_Behavior_Project/outputs/classification_v2/agent_audits/runbook_review_20260716_v1/pytest_tmp/test_gui_rejects_duplicate_exi0/review/behavior_unit_review_decisions.csv,ORIGINAL_ONLY_EXCLUDED,NON_OFFICIAL_AUDIT,,nested pytest temporary output excluded by fixed Classification V2 inventory scope
C:/Users/ironh/Downloads/PIG_Behavior_Project/outputs/classification_v2/agent_audits/runbook_review_20260716_v1/pytest_tmp/test_gui_resumes_existing_deci0/review/behavior_unit_review_decisions.csv,ORIGINAL_ONLY_EXCLUDED,NON_OFFICIAL_AUDIT,,nested pytest temporary output excluded by fixed Classification V2 inventory scope
C:/Users/ironh/Downloads/PIG_Behavior_Project/outputs/classification_v2/agent_audits/runbook_review_20260716_v1/pytest_tmp/test_hidden_gui_media_audit_bi0/frame_context.csv,ORIGINAL_ONLY_EXCLUDED,NON_OFFICIAL_AUDIT,,nested pytest temporary output excluded by fixed Classification V2 inventory scope
C:/Users/ironh/Downloads/PIG_Behavior_Project/outputs/classification_v2/agent_audits/runbook_review_20260716_v1/pytest_tmp/test_hidden_gui_media_audit_bi0/manifest.csv,ORIGINAL_ONLY_EXCLUDED,NON_OFFICIAL_AUDIT,,nested pytest temporary output excluded by fixed Classification V2 inventory scope
C:/Users/ironh/Downloads/PIG_Behavior_Project/outputs/classification_v2/agent_audits/runbook_review_20260716_v1/pytest_tmp/test_hidden_gui_rebases_legacy0/000166.mp4,ORIGINAL_ONLY_EXCLUDED,NON_OFFICIAL_AUDIT,,nested pytest temporary output excluded by fixed Classification V2 inventory scope
C:/Users/ironh/Downloads/PIG_Behavior_Project/outputs/classification_v2/agent_audits/runbook_review_20260716_v1/pytest_tmp/test_hidden_gui_rebases_legacy0/current/crops/dense_tracklet_0_to_12/pigs281119/000166/ID_8/f000008.jpg,ORIGINAL_ONLY_EXCLUDED,NON_OFFICIAL_AUDIT,,nested pytest temporary output excluded by fixed Classification V2 inventory scope
C:/Users/ironh/Downloads/PIG_Behavior_Project/outputs/classification_v2/agent_audits/runbook_review_20260716_v1/pytest_tmp/test_hidden_gui_uses_video_con0/Pigs291119_000231_30fps.mp4,ORIGINAL_ONLY_EXCLUDED,NON_OFFICIAL_AUDIT,,nested pytest temporary output excluded by fixed Classification V2 inventory scope
C:/Users/ironh/Downloads/PIG_Behavior_Project/outputs/classification_v2/agent_audits/runbook_review_20260716_v1/pytest_tmp/test_hidden_gui_uses_video_con0/wrong-cvat-crop.jpg,ORIGINAL_ONLY_EXCLUDED,NON_OFFICIAL_AUDIT,,nested pytest temporary output excluded by fixed Classification V2 inventory scope
C:/Users/ironh/Downloads/PIG_Behavior_Project/outputs/classification_v2/agent_audits/runbook_review_20260716_v1/pytest_tmp/test_hidden_review_identifier_0/decisions_v2.csv,ORIGINAL_ONLY_EXCLUDED,NON_OFFICIAL_AUDIT,,nested pytest temporary output excluded by fixed Classification V2 inventory scope
