sample_id,match_source,source_split_manifest,source_file_manifest,source_split_candidate,source_file_candidate,day_final,video_final,group_id,img_name,center_frame_for_training,center_frame_from_img,center_frame_final,center_ts_final,center_playback_sec,center_real_sec,frames,pig_id,x1,y1,x2,y2,behavior,hidden,trigger_type_manifest,roi_name_manifest,near_roi_manifest,trigger_type,roi_name,frame_mismatch
burst_color_000dacf1_400_ID_1,manifest,pig-selected_frame_attribute_(3),/content/drive/MyDrive/pig-selected_frame_attribute_(3)/manifest_frame_attribute_(3).csv,pig-selected_frame_attribute_(3),/content/drive/MyDrive/pig-selected_frame_attribute_(3)/bursts_candidates.csv,pigs051219,/content/drive/MyDrive/pig_data_unzipped/pigs051219/PIGS051219/000328/color.mp4,burst_color_000dacf1_400,burst_color_000dacf1_400_f12_k3.jpg,12,12,12.0,0.4,0.4,2.0,3|6|9|12|15|18,ID_1,203.58,34.0,463.85,335.34,explore,No,onset,,0.0,onset,,False
burst_color_000dacf1_400_ID_2,manifest,pig-selected_frame_attribute_(3),/content/drive/MyDrive/pig-selected_frame_attribute_(3)/manifest_frame_attribute_(3).csv,pig-selected_frame_attribute_(3),/content/drive/MyDrive/pig-selected_frame_attribute_(3)/bursts_candidates.csv,pigs051219,/content/drive/MyDrive/pig_data_unzipped/pigs051219/PIGS051219/000328/color.mp4,burst_color_000dacf1_400,burst_color_000dacf1_400_f12_k3.jpg,12,12,12.0,0.4,0.4,2.0,3|6|9|12|15|18,ID_2,177.97,382.65,414.24,718.11,drink,No,onset,,0.0,onset,,False
burst_color_000dacf1_400_ID_3,manifest,pig-selected_frame_attribute_(3),/content/drive/MyDrive/pig-selected_frame_attribute_(3)/manifest_frame_attribute_(3).csv,pig-selected_frame_attribute_(3),/content/drive/MyDrive/pig-selected_frame_attribute_(3)/bursts_candidates.csv,pigs051219,/content/drive/MyDrive/pig_data_unzipped/pigs051219/PIGS051219/000328/color.mp4,burst_color_000dacf1_400,burst_color_000dacf1_400_f12_k3.jpg,12,12,12.0,0.4,0.4,2.0,3|6|9|12|15|18,ID_3,567.18,162.54,816.03,333.6,sitting,No,onset,,0.0,onset,,False
burst_color_000dacf1_400_ID_4,manifest,pig-selected_frame_attribute_(3),/content/drive/MyDrive/pig-selected_frame_attribute_(3)/manifest_frame_attribute_(3).csv,pig-selected_frame_attribute_(3),/content/drive/MyDrive/pig-selected_frame_attribute_(3)/bursts_candidates.csv,pigs051219,/content/drive/MyDrive/pig_data_unzipped/pigs051219/PIGS051219/000328/color.mp4,burst_color_000dacf1_400,burst_color_000dacf1_400_f12_k3.jpg,12,12,12.0,0.4,0.4,2.0,3|6|9|12|15|18,ID_4,930.78,207.66,1098.29,318.37,sitting,No,onset,,0.0,onset,,False
burst_color_000dacf1_400_ID_5,manifest,pig-selected_frame_attribute_(3),/content/drive/MyDrive/pig-selected_frame_attribute_(3)/manifest_frame_attribute_(3).csv,pig-selected_frame_attribute_(3),/content/drive/MyDrive/pig-selected_frame_attribute_(3)/bursts_candidates.csv,pigs051219,/content/drive/MyDrive/pig_data_unzipped/pigs051219/PIGS051219/000328/color.mp4,burst_color_000dacf1_400,burst_color_000dacf1_400_f12_k3.jpg,12,12,12.0,0.4,0.4,2.0,3|6|9|12|15|18,ID_5,855.21,385.07,989.65,579.08,sitting,No,onset,,0.0,onset,,False
burst_color_000dacf1_400_ID_6,manifest,pig-selected_frame_attribute_(3),/content/drive/MyDrive/pig-selected_frame_attribute_(3)/manifest_frame_attribute_(3).csv,pig-selected_frame_attribute_(3),/content/drive/MyDrive/pig-selected_frame_attribute_(3)/bursts_candidates.csv,pigs051219,/content/drive/MyDrive/pig_data_unzipped/pigs051219/PIGS051219/000328/color.mp4,burst_color_000dacf1_400,burst_color_000dacf1_400_f12_k3.jpg,12,12,12.0,0.4,0.4,2.0,3|6|9|12|15|18,ID_6,563.81,324.9,797.93,521.82,sitting,No,onset,,0.0,onset,,False
burst_color_000dacf1_400_ID_7,manifest,pig-selected_frame_attribute_(3),/content/drive/MyDrive/pig-selected_frame_attribute_(3)/manifest_frame_attribute_(3).csv,pig-selected_frame_attribute_(3),/content/drive/MyDrive/pig-selected_frame_attribute_(3)/bursts_candidates.csv,pigs051219,/content/drive/MyDrive/pig_data_unzipped/pigs051219/PIGS051219/000328/color.mp4,burst_color_000dacf1_400,burst_color_000dacf1_400_f12_k3.jpg,12,12,12.0,0.4,0.4,2.0,3|6|9|12|15|18,ID_7,368.17,435.2,689.71,573.08,sitting,No,onset,,0.0,onset,,False
burst_color_000dacf1_400_ID_8,manifest,pig-selected_frame_attribute_(3),/content/drive/MyDrive/pig-selected_frame_attribute_(3)/manifest_frame_attribute_(3).csv,pig-selected_frame_attribute_(3),/content/drive/MyDrive/pig-selected_frame_attribute_(3)/bursts_candidates.csv,pigs051219,/content/drive/MyDrive/pig_data_unzipped/pigs051219/PIGS051219/000328/color.mp4,burst_color_000dacf1_400,burst_color_000dacf1_400_f12_k3.jpg,12,12,12.0,0.4,0.4,2.0,3|6|9|12|15|18,ID_8,644.15,499.3,846.15,607.82,sitting,No,onset,,0.0,onset,,False
burst_color_012ef1fa_633_ID_1,manifest,pig-selected_frame_attribute_(3),/content/drive/MyDrive/pig-selected_frame_attribute_(3)/manifest_frame_attribute_(3).csv,pig-selected_frame_attribute_(3),/content/drive/MyDrive/pig-selected_frame_attribute_(3)/bursts_candidates.csv,pigs041219,/content/drive/MyDrive/pig_data_unzipped/pigs041219/PIGS041219/000179/color.mp4,burst_color_012ef1fa_633,burst_color_012ef1fa_633_f19_k3.jpg,19,19,19.0,0.633,0.6333333333333333,3.1666666666666665,10|13|16|19|22|25,ID_1,1000.03,211.26,1127.87,354.61,explore,No,offset,,0.0,offset,,False
burst_color_012ef1fa_633_ID_2,manifest,pig-selected_frame_attribute_(3),/content/drive/MyDrive/pig-selected_frame_attribute_(3)/manifest_frame_attribute_(3).csv,pig-selected_frame_attribute_(3),/content/drive/MyDrive/pig-selected_frame_attribute_(3)/bursts_candidates.csv,pigs041219,/content/drive/MyDrive/pig_data_unzipped/pigs041219/PIGS041219/000179/color.mp4,burst_color_012ef1fa_633,burst_color_012ef1fa_633_f19_k3.jpg,19,19,19.0,0.633,0.6333333333333333,3.1666666666666665,10|13|16|19|22|25,ID_2,528.48,285.98,691.77,589.59,eat,No,offset,,0.0,offset,,False
burst_color_012ef1fa_633_ID_3,manifest,pig-selected_frame_attribute_(3),/content/drive/MyDrive/pig-selected_frame_attribute_(3)/manifest_frame_attribute_(3).csv,pig-selected_frame_attribute_(3),/content/drive/MyDrive/pig-selected_frame_attribute_(3)/bursts_candidates.csv,pigs041219,/content/drive/MyDrive/pig_data_unzipped/pigs041219/PIGS041219/000179/color.mp4,burst_color_012ef1fa_633,burst_color_012ef1fa_633_f19_k3.jpg,19,19,19.0,0.633,0.6333333333333333,3.1666666666666665,10|13|16|19|22|25,ID_3,848.5,382.57,1014.39,519.69,lying,No,offset,,0.0,offset,,False
burst_color_012ef1fa_633_ID_4,manifest,pig-selected_frame_attribute_(3),/content/drive/MyDrive/pig-selected_frame_attribute_(3)/manifest_frame_attribute_(3).csv,pig-selected_frame_attribute_(3),/content/drive/MyDrive/pig-selected_frame_attribute_(3)/bursts_candidates.csv,pigs041219,/content/drive/MyDrive/pig_data_unzipped/pigs041219/PIGS041219/000179/color.mp4,burst_color_012ef1fa_633,burst_color_012ef1fa_633_f19_k3.jpg,19,19,19.0,0.633,0.6333333333333333,3.1666666666666665,10|13|16|19|22|25,ID_4,313.26,337.82,518.0,616.94,eat,No,offset,,0.0,offset,,False
burst_color_012ef1fa_633_ID_5,manifest,pig-selected_frame_attribute_(3),/content/drive/MyDrive/pig-selected_frame_attribute_(3)/manifest_frame_attribute_(3).csv,pig-selected_frame_attribute_(3),/content/drive/MyDrive/pig-selected_frame_attribute_(3)/bursts_candidates.csv,pigs041219,/content/drive/MyDrive/pig_data_unzipped/pigs041219/PIGS041219/000179/color.mp4,burst_color_012ef1fa_633,burst_color_012ef1fa_633_f19_k3.jpg,19,19,19.0,0.633,0.6333333333333333,3.1666666666666665,10|13|16|19|22|25,ID_5,851.25,188.66,1020.98,327.58,sitting,No,offset,,0.0,offset,,False
burst_color_012ef1fa_633_ID_6,manifest,pig-selected_frame_attribute_(3),/content/drive/MyDrive/pig-selected_frame_attribute_(3)/manifest_frame_attribute_(3).csv,pig-selected_frame_attribute_(3),/content/drive/MyDrive/pig-selected_frame_attribute_(3)/bursts_candidates.csv,pigs041219,/content/drive/MyDrive/pig_data_unzipped/pigs041219/PIGS041219/000179/color.mp4,burst_color_012ef1fa_633,burst_color_012ef1fa_633_f19_k3.jpg,19,19,19.0,0.633,0.6333333333333333,3.1666666666666665,10|13|16|19|22|25,ID_6,651.2,145.79,877.36,281.65,lying,No,offset,,0.0,offset,,False
burst_color_012ef1fa_633_ID_7,manifest,pig-selected_frame_attribute_(3),/content/drive/MyDrive/pig-selected_frame_attribute_(3)/manifest_frame_attribute_(3).csv,pig-selected_frame_attribute_(3),/content/drive/MyDrive/pig-selected_frame_attribute_(3)/bursts_candidates.csv,pigs041219,/content/drive/MyDrive/pig_data_unzipped/pigs041219/PIGS041219/000179/color.mp4,burst_color_012ef1fa_633,burst_color_012ef1fa_633_f19_k3.jpg,19,19,19.0,0.633,0.6333333333333333,3.1666666666666665,10|13|16|19|22|25,ID_7,862.2,502.2,1032.18,585.45,lying,No,offset,,0.0,offset,,False
burst_color_012ef1fa_633_ID_8,manifest,pig-selected_frame_attribute_(3),/content/drive/MyDrive/pig-selected_frame_attribute_(3)/manifest_frame_attribute_(3).csv,pig-selected_frame_attribute_(3),/content/drive/MyDrive/pig-selected_frame_attribute_(3)/bursts_candidates.csv,pigs041219,/content/drive/MyDrive/pig_data_unzipped/pigs041219/PIGS041219/000179/color.mp4,burst_color_012ef1fa_633,burst_color_012ef1fa_633_f19_k3.jpg,19,19,19.0,0.633,0.6333333333333333,3.1666666666666665,10|13|16|19|22|25,ID_8,1023.07,337.34,1153.4,522.12,explore,No,offset,,0.0,offset,,False
burst_color_0207eb9f_33_ID_1,manifest,pig-selected_frame_attribute_(4),/content/drive/MyDrive/pig-selected_frame_attribute_(4)/manifest_frame_attribute_(4).csv,pig-selected_frame_attribute_(4),/content/drive/MyDrive/pig-selected_frame_attribute_(4)/bursts_candidates.csv,pigs291119,/content/drive/MyDrive/pig_data_unzipped/pigs291119/PIGS291119/000218/color.mp4,burst_color_0207eb9f_33,burst_color_0207eb9f_33_f9_k3.jpg,9,9,1.0,0.033,0.3,1.5,0|3|6|9|12|15,ID_1,203.22,28.9,523.85,217.06,sitting,No,onset,,0.0,onset,,True
burst_color_0207eb9f_33_ID_2,manifest,pig-selected_frame_attribute_(4),/content/drive/MyDrive/pig-selected_frame_attribute_(4)/manifest_frame_attribute_(4).csv,pig-selected_frame_attribute_(4),/content/drive/MyDrive/pig-selected_frame_attribute_(4)/bursts_candidates.csv,pigs291119,/content/drive/MyDrive/pig_data_unzipped/pigs291119/PIGS291119/000218/color.mp4,burst_color_0207eb9f_33,burst_color_0207eb9f_33_f9_k3.jpg,9,9,1.0,0.033,0.3,1.5,0|3|6|9|12|15,ID_2,507.37,117.51,715.64,373.33,sitting,No,onset,,0.0,onset,,True
burst_color_0207eb9f_33_ID_3,manifest,pig-selected_frame_attribute_(4),/content/drive/MyDrive/pig-selected_frame_attribute_(4)/manifest_frame_attribute_(4).csv,pig-selected_frame_attribute_(4),/content/drive/MyDrive/pig-selected_frame_attribute_(4)/bursts_candidates.csv,pigs291119,/content/drive/MyDrive/pig_data_unzipped/pigs291119/PIGS291119/000218/color.mp4,burst_color_0207eb9f_33,burst_color_0207eb9f_33_f9_k3.jpg,9,9,1.0,0.033,0.3,1.5,0|3|6|9|12|15,ID_3,679.62,157.56,835.1,401.26,lying,No,onset,,0.0,onset,,True
burst_color_0207eb9f_33_ID_4,manifest,pig-selected_frame_attribute_(4),/content/drive/MyDrive/pig-selected_frame_attribute_(4)/manifest_frame_attribute_(4).csv,pig-selected_frame_attribute_(4),/content/drive/MyDrive/pig-selected_frame_attribute_(4)/bursts_candidates.csv,pigs291119,/content/drive/MyDrive/pig_data_unzipped/pigs291119/PIGS291119/000218/color.mp4,burst_color_0207eb9f_33,burst_color_0207eb9f_33_f9_k3.jpg,9,9,1.0,0.033,0.3,1.5,0|3|6|9|12|15,ID_4,263.27,163.69,591.59,388.09,sitting,No,onset,,0.0,onset,,True
burst_color_0207eb9f_33_ID_5,manifest,pig-selected_frame_attribute_(4),/content/drive/MyDrive/pig-selected_frame_attribute_(4)/manifest_frame_attribute_(4).csv,pig-selected_frame_attribute_(4),/content/drive/MyDrive/pig-selected_frame_attribute_(4)/bursts_candidates.csv,pigs291119,/content/drive/MyDrive/pig_data_unzipped/pigs291119/PIGS291119/000218/color.mp4,burst_color_0207eb9f_33,burst_color_0207eb9f_33_f9_k3.jpg,9,9,1.0,0.033,0.3,1.5,0|3|6|9|12|15,ID_5,840.044921875,190.20000000000076,1010.3000000000012,315.1999969482422,sitting,No,onset,,0.0,onset,,True
